"category","language","Toronto","Montréal","Vancouver","Calgary","Edmonton"
"Non-Official & Non-Aboriginal languages","Italian","51815/775","32365/565","3950/85","1270/10","1405/15"
"Non-Official & Non-Aboriginal languages","Italic (Romance) languages, n.i.e.","70/10","30/0","10/0","0/0","5/0"
"Non-Official & Non-Aboriginal languages","Japanese","4550/775","875/220","8230/1545","1105/90","480/35"
"Non-Official & Non-Aboriginal languages","Kabyle","30/0","4605/15","20/0","30/0","50/0"
"Non-Official & Non-Aboriginal languages","Kannada","825/0","140/0","95/0","115/0","80/0"
"Non-Official & Non-Aboriginal languages","Karenic languages","215/0","0/0","690/40","235/15","360/10"
"Non-Official & Non-Aboriginal languages","Kashmiri","50/0","5/0","5/0","50/0","0/0"
"Aboriginal languages","Kaska (Nahani)","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Khmer (Cambodian)","1655/50","4720/260","620/20","440/0","385/10"
"Non-Official & Non-Aboriginal languages","Kinyarwanda (Rwanda)","115/0","335/0","45/0","25/0","285/0"
"Non-Official & Non-Aboriginal languages","Konkani","440/0","30/0","40/0","35/0","35/0"
"Non-Official & Non-Aboriginal languages","Korean","38435/4270","3395/290","34225/5075","6565/495","4565/260"
"Non-Official & Non-Aboriginal languages","Kurdish","1470/80","400/10","1020/25","460/0","375/15"
"Aboriginal languages","Kutenai","0/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Kwakiutl (Kwak'wala)","0/0","0/0","5/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Lao","1045/15","1875/50","330/0","185/0","190/0"
"Non-Official & Non-Aboriginal languages","Latvian","600/10","65/10","70/0","85/0","55/0"
"Aboriginal languages","Lillooet","0/0","0/0","5/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Lingala","95/0","480/0","35/0","25/0","45/0"
"Non-Official & Non-Aboriginal languages","Lithuanian","1045/45","105/0","90/10","155/0","70/0"
"Non-Official & Non-Aboriginal languages","Macedonian","4970/75","110/0","120/0","80/0","90/10"
"Non-Official & Non-Aboriginal languages","Malagasy","15/0","260/0","5/0","10/0","10/0"
"Non-Official & Non-Aboriginal languages","Malay","1455/35","165/0","1050/55","235/0","135/0"
"Non-Official & Non-Aboriginal languages","Malayalam","6400/55","190/0","890/0","1295/0","2330/10"
"Aboriginal languages","Malecite","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Maltese","875/20","0/0","5/0","5/0","10/0"
"Non-Official & Non-Aboriginal languages","Mandarin","179670/26135","34300/2945","138680/23195","21140/1385","14725/710"
"Non-Official & Non-Aboriginal languages","Marathi","2005/25","75/0","245/0","440/0","335/0"
"Aboriginal languages","Mi'kmaq","5/0","5/0","0/0","0/0","0/0"
"Aboriginal languages","Michif","5/0","0/0","5/0","5/0","0/0"
"Non-Official & Non-Aboriginal languages","Min Dong","240/25","0/0","65/0","10/0","15/0"
"Non-Official & Non-Aboriginal languages","Min Nan (Chaochow, Teochow, Fukien, Taiwanese)","5065/225","1775/70","4645/210","675/15","555/20"
"Aboriginal languages","Mohawk","5/0","15/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Mongolian","200/0","140/0","160/10","280/0","45/0"
"Aboriginal languages","Montagnais (Innu)","0/0","20/0","0/0","0/0","0/0"
"Aboriginal languages","Moose Cree","5/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Naskapi","0/0","10/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Nepali","3085/55","260/0","555/20","1335/25","1395/10"
"Non-Official & Non-Aboriginal languages","Niger-Congo languages, n.i.e.","735/10","835/0","150/0","280/0","495/0"
"Non-Official & Non-Aboriginal languages","Nilo-Saharan languages, n.i.e.","75/0","55/0","65/0","470/0","165/0"
"Aboriginal languages","Nisga'a","0/0","0/0","10/0","0/0","0/0"
"Aboriginal languages","North Slavey (Hare)","0/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Northern East Cree","0/0","30/15","0/0","0/0","15/0"
"Aboriginal languages","Northern Tutchone","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Norwegian","40/10","15/0","70/15","25/0","15/0"
"Aboriginal languages","Nuu-chah-nulth (Nootka)","0/10","0/0","0/0","0/0","0/0"
"Aboriginal languages","Oji-Cree","5/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Ojibway","35/0","0/0","5/0","5/0","20/0"
"Aboriginal languages","Okanagan","0/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Oneida","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Oriya (Odia)","270/0","15/0","30/0","50/0","35/0"
"Non-Official & Non-Aboriginal languages","Oromo","545/15","5/0","75/0","710/0","885/10"
"Non-Official & Non-Aboriginal languages","Other languages, n.i.e.","320/0","105/0","110/25","110/0","75/10"
"Aboriginal languages","Ottawa (Odawa)","5/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Pampangan (Kapampangan, Pampango)","405/10","60/10","140/0","65/0","130/0"
"Non-Official & Non-Aboriginal languages","Pangasinan","80/0","15/0","55/0","20/0","25/0"
"Non-Official & Non-Aboriginal languages","Pashto","4845/10","880/10","660/0","1055/15","430/0"
"Non-Official & Non-Aboriginal languages","Persian (Farsi)","67315/2350","18305/570","27355/1045","6480/120","3220/55"
"Aboriginal languages","Plains Cree","0/0","0/0","0/0","10/0","55/0"
"Non-Official & Non-Aboriginal languages","Polish","33320/1490","5400/160","4485/95","3275/100","3805/120"
"Non-Official & Non-Aboriginal languages","Portuguese","50210/5065","14570/515","5115/495","1770/95","1915/45"
"Non-Official & Non-Aboriginal languages","Punjabi (Panjabi)","116045/5635","8775/415","104855/13125","29100/1455","20650/975"
"Non-Official & Non-Aboriginal languages","Quebec Sign Language","0/0","455/70","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Romanian","12200/245","22945/310","3215/65","2475/55","1360/0"
"Non-Official & Non-Aboriginal languages","Rundi (Kirundi)","125/0","470/0","55/0","65/0","195/0"
"Non-Official & Non-Aboriginal languages","Russian","53670/2515","19395/690","10795/435","5785/160","3260/75"
"Aboriginal languages","Salish languages, n.i.e.","0/0","5/0","0/0","0/0","0/0"
"Aboriginal languages","Sarsi (Sarcee)","5/0","0/0","0/0","10/10","0/0"
"Non-Official & Non-Aboriginal languages","Scottish Gaelic","25/0","5/0","15/0","5/0","5/0"
"Aboriginal languages","Sekani","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Semitic languages, n.i.e.","475/10","40/0","85/0","150/0","55/50"
"Non-Official & Non-Aboriginal languages","Serbian","12200/165","1065/10","3470/85","945/10","1005/10"
"Non-Official & Non-Aboriginal languages","Serbo-Croatian","935/20","270/0","435/0","180/0","120/0"
"Non-Official & Non-Aboriginal languages","Shona","235/0","20/0","40/0","95/0","215/0"
"Aboriginal languages","Shuswap (Secwepemctsin)","0/0","0/0","5/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Sign languages, n.i.e","1190/110","525/40","530/35","250/35","285/45"
"Non-Official & Non-Aboriginal languages","Sindhi","2490/25","135/0","595/10","745/10","460/0"
"Non-Official & Non-Aboriginal languages","Sinhala (Sinhalese)","3580/25","350/0","595/0","485/10","780/0"
"Aboriginal languages","Siouan languages, n.i.e.","0/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Slavey, n.o.s.","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Slavic languages, n.i.e.","130/10","30/0","30/0","15/0","25/0"
"Non-Official & Non-Aboriginal languages","Slovak","2290/50","215/0","780/10","465/0","170/15"
"Non-Official & Non-Aboriginal languages","Slovene (Slovenian)","890/0","220/0","60/0","40/0","65/0"
"Non-Official & Non-Aboriginal languages","Somali","7765/85","350/0","610/10","890/10","4740/55"
"Aboriginal languages","South Slavey","0/0","0/0","0/0","0/0","5/0"
"Aboriginal languages","Southern East Cree","0/0","5/0","0/0","0/0","0/0"
"Aboriginal languages","Southern Tutchone","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Spanish","70370/3660","76680/2740","18310/1040","17540/725","10880/405"
"Aboriginal languages","Squamish","0/0","0/0","5/0","0/0","0/0"
"Aboriginal languages","Stoney","0/0","0/0","0/0","30/0","25/0"
"Aboriginal languages","Straits","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Swahili","1230/10","385/15","155/0","350/20","585/0"
"Aboriginal languages","Swampy Cree","5/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Swedish","220/25","80/15","220/30","50/0","65/0"
"Non-Official & Non-Aboriginal languages","Tagalog (Pilipino, Filipino)","63985/985","7750/110","30695/635","23010/305","20765/305"
"Aboriginal languages","Tahltan","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Tai-Kadai languages, n.i.e","10/0","0/0","5/0","5/0","5/0"
"Non-Official & Non-Aboriginal languages","Tamil","76095/1815","10670/145","1930/30","1190/20","1440/15"
"Non-Official & Non-Aboriginal languages","Telugu","4875/35","320/0","425/0","560/0","555/0"
"Non-Official & Non-Aboriginal languages","Thai","580/65","175/15","670/100","230/25","285/30"
"Aboriginal languages","Thompson (Ntlakapamux)","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Tibetan","3705/45","60/0","165/10","395/10","20/0"
"Non-Official & Non-Aboriginal languages","Tibeto-Burman languages, n.i.e.","105/0","35/0","90/0","75/0","60/10"
"Non-Official & Non-Aboriginal languages","Tigrigna","2480/45","190/0","355/0","2050/15","1655/15"
"Aboriginal languages","Tlingit","0/0","0/0","0/0","0/0","0/0"
"Aboriginal languages","Tsimshian","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Turkic languages, n.i.e.","150/0","55/0","40/0","45/0","10/0"
"Non-Official & Non-Aboriginal languages","Turkish","8155/400","4420/95","1190/35","755/25","1140/35"
"Non-Official & Non-Aboriginal languages","Ukrainian","12510/675","2160/110","1010/20","790/20","2400/70"
"Non-Official & Non-Aboriginal languages","Uralic languages, n.i.e.","0/0","0/0","0/0","5/0","0/0"
"Non-Official & Non-Aboriginal languages","Urdu","78105/985","7070/70","5170/40","11060/105","5095/45"
"Non-Official & Non-Aboriginal languages","Uyghur","225/0","135/0","100/10","45/0","35/0"
"Non-Official & Non-Aboriginal languages","Uzbek","315/0","95/0","40/0","55/0","70/10"
"Non-Official & Non-Aboriginal languages","Vietnamese","31755/1735","18700/1340","14365/1985","8925/835","5860/410"
"Non-Official & Non-Aboriginal languages","Vlaams (Flemish)","25/10","30/0","15/0","10/0","15/0"
"Aboriginal languages","Wakashan languages, n.i.e.","0/0","0/0","0/0","0/0","0/0"
"Non-Official & Non-Aboriginal languages","Waray-Waray","75/0","15/0","60/0","50/0","10/0"
"Non-Official & Non-Aboriginal languages","Welsh","15/0","5/0","20/0","5/0","0/0"
"Non-Official & Non-Aboriginal languages","Wolof","75/0","770/0","5/0","65/0","90/10"
"Aboriginal languages","Woods Cree","0/10","0/0","5/0","0/0","20/0"
"Non-Official & Non-Aboriginal languages","Wu (Shanghainese)","3130/30","760/15","2495/45","210/0","120/0"
"Non-Official & Non-Aboriginal languages","Yiddish","350/20","6665/860","10/0","10/0","0/0"
"Non-Official & Non-Aboriginal languages","Yoruba","1080/10","45/0","40/0","350/0","280/0"
