election_num,election_year,winner,winner_party,elec_coll_votes_count,elec_coll_votes_perc,pop_votes_perc,pop_votes_perc_marg,pop_votes_count,pop_votes_count_marg,runner-up,runner-up_party,turnout
19,1860,Abraham Lincoln,Rep.,180/303,59.41%,39.65%,10.13%,"1,855,993","474,049",John Breckinridge,Dem.,81.80%
42,1952,Dwight Eisenhower,Rep.,442/531,83.24%,55.18%,10.85%,"34,075,529","6,700,439",Adlai Stevenson,Dem.,62.30%
22,1872,Ulysses Grant,Rep.,286/352,81.25%,55.58%,11.80%,"3,597,439","763,729",Horace Greeley,L. R.,72.10%
18,1856,James Buchanan,Dem.,174/296,58.78%,45.29%,12.20%,"1,835,140","494,472",John Fr̩mont,Rep.,79.40%
11,1828,Andrew Jackson,Dem.,178/261,68.20%,55.93%,12.25%,"642,806","140,839",John Quincy Adams,N. R.,57.30%
13,1836,Martin Van Buren,Dem.,170/294,57.82%,50.79%,14.20%,"763,291","213,384",William Henry Harrison,Whig,56.50%
32,1912,Woodrow Wilson,Dem.,435/531,81.92%,41.84%,14.44%,"6,296,284","2,173,563",Theodore Roosevelt,Prog.,59.00%
43,1956,Dwight Eisenhower,Rep.,457/531,86.06%,57.37%,15.40%,"35,579,180","9,551,152",Adlai Stevenson,Dem.,60.20%
36,1928,Herbert Hoover,Rep.,444/531,83.62%,58.21%,17.41%,"21,427,123","6,411,659",Al Smith,Dem.,56.90%
37,1932,Franklin Roosevelt,Dem.,472/531,88.89%,57.41%,17.76%,"22,821,277","7,060,023",Herbert Hoover,Rep.,56.90%
12,1832,Andrew Jackson,Dem.,219/286,76.57%,54.74%,17.81%,"702,735","228,628",Henry Clay,N. R.,57.00%
50,1984,Ronald Reagan,Rep.,525/538,97.58%,58.77%,18.21%,"54,455,472","16,878,120",Walter Mondale,Dem.,55.20%
30,1904,Theodore Roosevelt,Rep.,336/476,70.59%,56.42%,18.83%,"7,630,557","2,546,677",Alton Brooks Parker,Dem.,65.50%
45,1964,Lyndon Johnson,Dem.,486/538,90.33%,61.05%,22.58%,"43,127,041","15,951,287",Barry Goldwater,Rep.,62.80%
47,1972,Richard Nixon,Rep.,520/538,96.65%,60.67%,23.15%,"47,168,710","17,995,488",George McGovern,Dem.,56.20%
38,1936,Franklin Roosevelt,Dem.,523/531,98.49%,60.80%,24.26%,"27,752,648","11,070,786",Alf Landon,Rep.,61.00%
35,1924,Calvin Coolidge,Rep.,382/531,71.94%,54.04%,25.22%,"15,723,789","7,337,547",John Davis,Dem.,48.90%
34,1920,Warren Harding,Rep.,404/531,76.08%,60.32%,26.17%,"16,144,093","7,004,432",James Cox,Dem.,49.20%
