"region","category","language","type","count"
"Toronto","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",6790
"Toronto","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",110
"Calgary","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",200
"Calgary","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",10
"Edmonton","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",40
"Edmonton","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",400
"Vancouver","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",25
"Montréal","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",0
"Montréal","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"Toronto","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",5
"Toronto","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"Calgary","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",0
"Calgary","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"Edmonton","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",0
"Edmonton","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"Vancouver","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",0
"Vancouver","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"Montréal","Aboriginal languages","Atikamekw","most_at_home",5
"Montréal","Aboriginal languages","Atikamekw","most_at_work",0
"Toronto","Aboriginal languages","Atikamekw","most_at_home",0
"Toronto","Aboriginal languages","Atikamekw","most_at_work",0
"Calgary","Aboriginal languages","Atikamekw","most_at_home",0
"Calgary","Aboriginal languages","Atikamekw","most_at_work",0
"Edmonton","Aboriginal languages","Atikamekw","most_at_home",0
"Edmonton","Aboriginal languages","Atikamekw","most_at_work",0
"Vancouver","Aboriginal languages","Atikamekw","most_at_home",0
"Vancouver","Aboriginal languages","Atikamekw","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",5
"Montréal","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",35
"Toronto","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",0
"Edmonton","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",15
"Vancouver","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",55
"Montréal","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",280
"Toronto","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",145
"Calgary","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",85
"Edmonton","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",260
"Vancouver","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",20
"Montréal","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",95
"Montréal","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",650
"Toronto","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",15
"Calgary","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",100
"Calgary","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",50
"Edmonton","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",185
"Vancouver","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",10
"Montréal","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"Montréal","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"Toronto","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"Toronto","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"Calgary","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"Calgary","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"Edmonton","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"Edmonton","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"Vancouver","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"Vancouver","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",220
"Montréal","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",15
"Toronto","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",0
"Edmonton","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",5
"Vancouver","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"Montréal","Aboriginal languages","Beaver","most_at_home",0
"Montréal","Aboriginal languages","Beaver","most_at_work",0
"Toronto","Aboriginal languages","Beaver","most_at_home",0
"Toronto","Aboriginal languages","Beaver","most_at_work",0
"Calgary","Aboriginal languages","Beaver","most_at_home",0
"Calgary","Aboriginal languages","Beaver","most_at_work",0
"Edmonton","Aboriginal languages","Beaver","most_at_home",0
"Edmonton","Aboriginal languages","Beaver","most_at_work",0
"Vancouver","Aboriginal languages","Beaver","most_at_home",0
"Vancouver","Aboriginal languages","Beaver","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",20
"Montréal","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",125
"Toronto","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",0
"Calgary","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",10
"Edmonton","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",10
"Vancouver","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Bengali","most_at_home",8080
"Montréal","Non-Official & Non-Aboriginal languages","Bengali","most_at_work",105
"Toronto","Non-Official & Non-Aboriginal languages","Bengali","most_at_home",24610
"Toronto","Non-Official & Non-Aboriginal languages","Bengali","most_at_work",295
"Calgary","Non-Official & Non-Aboriginal languages","Bengali","most_at_home",2750
"Calgary","Non-Official & Non-Aboriginal languages","Bengali","most_at_work",15
"Edmonton","Non-Official & Non-Aboriginal languages","Bengali","most_at_home",1460
"Edmonton","Non-Official & Non-Aboriginal languages","Bengali","most_at_work",15
"Vancouver","Non-Official & Non-Aboriginal languages","Bengali","most_at_home",1570
"Vancouver","Non-Official & Non-Aboriginal languages","Bengali","most_at_work",15
"Montréal","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_home",2220
"Montréal","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_work",15
"Toronto","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_home",30
"Toronto","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_home",35
"Calgary","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_home",45
"Edmonton","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_home",20
"Vancouver","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Bikol","most_at_home",15
"Montréal","Non-Official & Non-Aboriginal languages","Bikol","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Bikol","most_at_home",85
"Toronto","Non-Official & Non-Aboriginal languages","Bikol","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Bikol","most_at_home",45
"Calgary","Non-Official & Non-Aboriginal languages","Bikol","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Bikol","most_at_home",15
"Edmonton","Non-Official & Non-Aboriginal languages","Bikol","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Bikol","most_at_home",65
"Vancouver","Non-Official & Non-Aboriginal languages","Bikol","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Bilen","most_at_home",5
"Montréal","Non-Official & Non-Aboriginal languages","Bilen","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Bilen","most_at_home",45
"Toronto","Non-Official & Non-Aboriginal languages","Bilen","most_at_work",0
"Calgary","Non-Official & Non-Aboriginal languages","Bilen","most_at_home",45
"Calgary","Non-Official & Non-Aboriginal languages","Bilen","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Bilen","most_at_home",210
"Edmonton","Non-Official & Non-Aboriginal languages","Bilen","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Bilen","most_at_home",5
"Vancouver","Non-Official & Non-Aboriginal languages","Bilen","most_at_work",0
"Montréal","Aboriginal languages","Blackfoot","most_at_home",0
"Montréal","Aboriginal languages","Blackfoot","most_at_work",0
"Toronto","Aboriginal languages","Blackfoot","most_at_home",0
"Toronto","Aboriginal languages","Blackfoot","most_at_work",0
"Calgary","Aboriginal languages","Blackfoot","most_at_home",60
"Calgary","Aboriginal languages","Blackfoot","most_at_work",0
"Edmonton","Aboriginal languages","Blackfoot","most_at_home",10
"Edmonton","Aboriginal languages","Blackfoot","most_at_work",0
"Vancouver","Aboriginal languages","Blackfoot","most_at_home",0
"Vancouver","Aboriginal languages","Blackfoot","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Bosnian","most_at_home",260
"Montréal","Non-Official & Non-Aboriginal languages","Bosnian","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Bosnian","most_at_home",1330
"Toronto","Non-Official & Non-Aboriginal languages","Bosnian","most_at_work",45
"Calgary","Non-Official & Non-Aboriginal languages","Bosnian","most_at_home",395
"Calgary","Non-Official & Non-Aboriginal languages","Bosnian","most_at_work",15
"Edmonton","Non-Official & Non-Aboriginal languages","Bosnian","most_at_home",305
"Edmonton","Non-Official & Non-Aboriginal languages","Bosnian","most_at_work",10
"Vancouver","Non-Official & Non-Aboriginal languages","Bosnian","most_at_home",545
"Vancouver","Non-Official & Non-Aboriginal languages","Bosnian","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_home",4750
"Montréal","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_work",45
"Toronto","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_home",3860
"Toronto","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_work",110
"Calgary","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_home",480
"Calgary","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_home",290
"Edmonton","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_home",925
"Vancouver","Non-Official & Non-Aboriginal languages","Bulgarian","most_at_work",10
"Montréal","Non-Official & Non-Aboriginal languages","Burmese","most_at_home",20
"Montréal","Non-Official & Non-Aboriginal languages","Burmese","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Burmese","most_at_home",570
"Toronto","Non-Official & Non-Aboriginal languages","Burmese","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Burmese","most_at_home",175
"Calgary","Non-Official & Non-Aboriginal languages","Burmese","most_at_work",15
"Edmonton","Non-Official & Non-Aboriginal languages","Burmese","most_at_home",100
"Edmonton","Non-Official & Non-Aboriginal languages","Burmese","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Burmese","most_at_home",690
"Vancouver","Non-Official & Non-Aboriginal languages","Burmese","most_at_work",20
"Montréal","Non-Official & Non-Aboriginal languages","Cantonese","most_at_home",17330
"Montréal","Non-Official & Non-Aboriginal languages","Cantonese","most_at_work",2615
"Toronto","Non-Official & Non-Aboriginal languages","Cantonese","most_at_home",182750
"Toronto","Non-Official & Non-Aboriginal languages","Cantonese","most_at_work",25340
"Calgary","Non-Official & Non-Aboriginal languages","Cantonese","most_at_home",22245
"Calgary","Non-Official & Non-Aboriginal languages","Cantonese","most_at_work",2845
"Edmonton","Non-Official & Non-Aboriginal languages","Cantonese","most_at_home",14695
"Edmonton","Non-Official & Non-Aboriginal languages","Cantonese","most_at_work",1475
"Vancouver","Non-Official & Non-Aboriginal languages","Cantonese","most_at_home",132185
"Vancouver","Non-Official & Non-Aboriginal languages","Cantonese","most_at_work",22890
"Montréal","Aboriginal languages","Carrier","most_at_home",0
"Montréal","Aboriginal languages","Carrier","most_at_work",0
"Toronto","Aboriginal languages","Carrier","most_at_home",0
"Toronto","Aboriginal languages","Carrier","most_at_work",0
"Calgary","Aboriginal languages","Carrier","most_at_home",0
"Calgary","Aboriginal languages","Carrier","most_at_work",0
"Edmonton","Aboriginal languages","Carrier","most_at_home",5
"Edmonton","Aboriginal languages","Carrier","most_at_work",0
"Vancouver","Aboriginal languages","Carrier","most_at_home",5
"Vancouver","Aboriginal languages","Carrier","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Catalan","most_at_home",90
"Montréal","Non-Official & Non-Aboriginal languages","Catalan","most_at_work",10
"Toronto","Non-Official & Non-Aboriginal languages","Catalan","most_at_home",80
"Toronto","Non-Official & Non-Aboriginal languages","Catalan","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Catalan","most_at_home",20
"Calgary","Non-Official & Non-Aboriginal languages","Catalan","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Catalan","most_at_home",10
"Edmonton","Non-Official & Non-Aboriginal languages","Catalan","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Catalan","most_at_home",60
"Vancouver","Non-Official & Non-Aboriginal languages","Catalan","most_at_work",0
"Montréal","Aboriginal languages","Cayuga","most_at_home",0
"Montréal","Aboriginal languages","Cayuga","most_at_work",0
"Toronto","Aboriginal languages","Cayuga","most_at_home",0
"Toronto","Aboriginal languages","Cayuga","most_at_work",0
"Calgary","Aboriginal languages","Cayuga","most_at_home",0
"Calgary","Aboriginal languages","Cayuga","most_at_work",0
"Edmonton","Aboriginal languages","Cayuga","most_at_home",0
"Edmonton","Aboriginal languages","Cayuga","most_at_work",0
"Vancouver","Aboriginal languages","Cayuga","most_at_home",0
"Vancouver","Aboriginal languages","Cayuga","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Cebuano","most_at_home",215
"Montréal","Non-Official & Non-Aboriginal languages","Cebuano","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Cebuano","most_at_home",1880
"Toronto","Non-Official & Non-Aboriginal languages","Cebuano","most_at_work",25
"Calgary","Non-Official & Non-Aboriginal languages","Cebuano","most_at_home",865
"Calgary","Non-Official & Non-Aboriginal languages","Cebuano","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Cebuano","most_at_home",810
"Edmonton","Non-Official & Non-Aboriginal languages","Cebuano","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Cebuano","most_at_home",1085
"Vancouver","Non-Official & Non-Aboriginal languages","Cebuano","most_at_work",10
"Montréal","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_home",15
"Montréal","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_home",25
"Toronto","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_home",5
"Calgary","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_home",5
"Edmonton","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_home",5
"Vancouver","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.","most_at_work",0
"Montréal","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_home",10
"Montréal","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_work",0
"Toronto","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_home",1095
"Toronto","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_work",10
"Calgary","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_home",75
"Calgary","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_work",0
"Edmonton","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_home",15
"Edmonton","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_work",0
"Vancouver","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic","most_at_home",305
