"","category","language","mother_tongue_Toronto","mother_tongue_Calgary","mother_tongue_Edmonton","mother_tongue_Vancouver","most_at_home_Toronto","most_at_home_Calgary","most_at_home_Edmonton","most_at_home_Vancouver","most_at_work_Toronto","most_at_work_Calgary","most_at_work_Edmonton","most_at_work_Vancouver","lang_known_Toronto","lang_known_Calgary","lang_known_Edmonton","lang_known_Vancouver"
"14","Aboriginal languages","Atikamekw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e",65,5,10,35,35,5,0,15,0,0,0,0,40,10,15,60
"16","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.",1015,485,285,830,280,145,85,260,10,0,0,20,1275,570,420,1175
"17","Non-Official & Non-Aboriginal languages","Azerbaijani",1615,240,120,500,650,100,50,185,15,0,0,10,2650,350,250,840
"18","Aboriginal languages","Babine (Wetsuwet'en)",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"19","Non-Official & Non-Aboriginal languages","Bamanankan",55,15,20,10,15,5,0,5,0,0,0,0,200,20,35,20
"20","Aboriginal languages","Beaver",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Non-Official & Non-Aboriginal languages","Belarusan",355,20,35,60,125,0,10,10,0,0,0,0,945,70,110,205
"22","Non-Official & Non-Aboriginal languages","Bengali",38320,4140,2335,2680,24610,2750,1460,1570,295,15,15,15,48410,5050,2815,3145
"23","Non-Official & Non-Aboriginal languages","Berber languages, n.i.e.",115,80,55,60,30,35,45,20,0,0,0,0,175,90,120,65
"24","Non-Official & Non-Aboriginal languages","Bikol",470,205,110,310,85,45,15,65,0,0,0,0,580,165,75,490
"25","Non-Official & Non-Aboriginal languages","Bilen",80,50,245,5,45,45,210,5,0,0,0,0,80,65,240,15
"26","Aboriginal languages","Blackfoot",5,235,35,25,0,60,10,0,0,0,0,0,10,350,40,15
"27","Non-Official & Non-Aboriginal languages","Bosnian",2750,845,715,1155,1330,395,305,545,45,15,10,0,4360,1330,1140,1775
"28","Non-Official & Non-Aboriginal languages","Bulgarian",6950,945,480,1720,3860,480,290,925,110,0,0,10,8055,1100,545,1975
"29","Non-Official & Non-Aboriginal languages","Burmese",1005,270,145,1040,570,175,100,690,10,15,0,20,1325,340,240,1385
"30","Non-Official & Non-Aboriginal languages","Cantonese",247710,34235,22670,184365,182750,22245,14695,132185,25340,2845,1475,22890,306700,43110,28750,223700
"31","Aboriginal languages","Carrier",5,0,5,35,0,0,5,5,0,0,0,0,0,0,30,45
"32","Non-Official & Non-Aboriginal languages","Catalan",165,45,25,125,80,20,10,60,10,0,0,0,320,85,75,245
"33","Aboriginal languages","Cayuga",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Non-Official & Non-Aboriginal languages","Cebuano",5080,2015,1945,3210,1880,865,810,1085,25,0,0,10,7350,2825,2505,4185
"35","Non-Official & Non-Aboriginal languages","Celtic languages, n.i.e.",140,20,35,65,25,5,5,5,10,0,0,0,1025,190,185,685
"36","Non-Official & Non-Aboriginal languages","Chaldean Neo-Aramaic",1845,85,40,435,1095,75,15,305,10,0,0,0,2215,115,20,550
"37","Aboriginal languages","Chilcotin",0,0,5,25,0,0,0,0,0,0,0,0,0,10,10,0
"38","Non-Official & Non-Aboriginal languages","Chinese languages, n.i.e.",190,10,25,195,85,5,10,105,0,0,0,0,135,15,45,195
"39","Non-Official & Non-Aboriginal languages","Chinese, n.o.s.",11080,2485,2370,8485,6885,1605,1440,5045,915,125,95,845,11470,3105,2410,8745
"40","Aboriginal languages","Comox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"41","Aboriginal languages","Cree, n.o.s.",55,140,1455,145,10,60,330,15,0,0,10,10,95,255,2725,185
"42","Non-Official & Non-Aboriginal languages","Creole languages, n.i.e.",1920,180,345,225,775,65,145,75,10,0,0,0,7130,605,770,750
"43","Non-Official & Non-Aboriginal languages","Creole, n.o.s.",3380,430,615,365,1950,220,380,205,20,0,0,0,9125,1115,1290,1025
"44","Non-Official & Non-Aboriginal languages","Croatian",16525,2100,2010,5465,5945,745,895,1795,90,15,0,30,23785,2770,2815,7995
"45","Non-Official & Non-Aboriginal languages","Cushitic languages, n.i.e.",65,10,25,10,30,5,10,5,0,0,0,0,85,30,35,0
"46","Non-Official & Non-Aboriginal languages","Czech",4790,1500,895,3565,1415,425,255,1030,10,0,0,20,6300,1795,1050,4575
"47","Aboriginal languages","Dakota",0,25,65,20,5,10,20,10,0,0,0,0,0,60,130,20
"48","Non-Official & Non-Aboriginal languages","Danish",1570,860,745,2070,140,70,45,180,15,0,0,10,2125,1060,780,2460
"49","Aboriginal languages","Dene",10,20,145,20,0,10,10,10,0,0,0,0,10,25,215,10
"50","Non-Official & Non-Aboriginal languages","Dinka",45,725,335,80,10,445,205,40,0,0,0,0,85,785,570,45
"51","Aboriginal languages","Dogrib (Tlicho)",5,0,20,0,0,0,0,0,0,0,0,0,0,10,40,0
"52","Non-Official & Non-Aboriginal languages","Dravidian languages, n.i.e.",270,30,25,45,95,20,10,15,0,0,0,0,440,80,65,65
"53","Non-Official & Non-Aboriginal languages","Dutch",8585,4045,4100,7455,650,490,275,690,65,0,20,70,11650,4945,4835,9200
"54","Non-Official & Non-Aboriginal languages","Edo",1020,105,140,80,290,25,35,15,0,0,0,0,1895,240,285,120
"55","Official languages","English",3061820,937055,930405,1316635,3836770,1065070,1050410,1622735,3218725,844740,792700,1330555,5600480,1343335,1275265,2289515
"56","Non-Official & Non-Aboriginal languages","Estonian",2690,95,45,455,650,15,5,75,50,0,0,0,2995,110,40,495
"57","Non-Official & Non-Aboriginal languages","Ewe",370,60,125,60,95,15,40,15,0,0,0,0,515,75,160,115
"58","Non-Official & Non-Aboriginal languages","Fijian",55,45,55,390,10,20,25,100,0,0,0,0,50,140,145,985
"59","Non-Official & Non-Aboriginal languages","Finnish",2515,325,230,1900,510,50,30,430,45,0,0,20,2830,350,415,2090
"60","Official languages","French",65530,20720,27100,25005,29800,8630,10950,8630,11940,2140,2520,3245,466820,101440,96065,172260
"61","Non-Official & Non-Aboriginal languages","Frisian",135,40,95,80,5,5,5,5,0,0,0,0,195,65,95,125
"62","Non-Official & Non-Aboriginal languages","Fulah (Pular, Pulaar, Fulfulde)",225,80,140,15,75,45,55,0,0,0,0,0,485,135,155,50
"63","Non-Official & Non-Aboriginal languages","Ga",445,65,65,30,145,20,15,0,0,0,0,0,1010,110,195,90
"64","Non-Official & Non-Aboriginal languages","Ganda",515,40,210,65,155,5,80,5,20,0,0,0,860,75,430,110
"65","Non-Official & Non-Aboriginal languages","Georgian",1110,130,70,65,745,80,55,15,10,0,0,0,1465,140,60,90
"66","Non-Official & Non-Aboriginal languages","German",29425,11865,14760,24060,3585,1540,2315,2895,240,75,65,210,55040,19075,20990,38660
"67","Non-Official & Non-Aboriginal languages","Germanic languages, n.i.e.",50,10,10,30,10,5,5,5,0,0,0,0,105,75,20,75
"68","Aboriginal languages","Gitxsan (Gitksan)",0,0,0,50,0,0,0,10,0,0,0,0,0,15,0,50
"69","Non-Official & Non-Aboriginal languages","Greek",41225,1590,1080,4880,16945,500,375,1730,340,10,0,60,60400,2490,1580,7230
"70","Non-Official & Non-Aboriginal languages","Gujarati",64115,5575,5750,6285,38270,3125,3650,2740,615,20,60,40,87570,8590,7515,10685
"71","Aboriginal languages","Gwich'in",0,5,5,10,5,5,0,0,0,0,0,0,0,0,0,0
"72","Aboriginal languages","Haida",5,0,5,10,0,0,0,5,0,0,0,0,0,0,0,60
"73","Aboriginal languages","Haisla",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30
"74","Non-Official & Non-Aboriginal languages","Haitian Creole",200,25,55,20,120,5,40,0,0,0,0,0,650,80,115,55
"75","Non-Official & Non-Aboriginal languages","Hakka",6495,345,625,2185,2725,95,215,670,30,0,10,10,7185,425,705,2555
"76","Aboriginal languages","Halkomelem",0,0,0,40,0,0,0,5,0,0,0,0,0,0,10,150
"77","Non-Official & Non-Aboriginal languages","Harari",925,75,165,20,520,45,110,10,0,0,0,0,1250,95,240,55
"78","Non-Official & Non-Aboriginal languages","Hebrew",10385,505,405,1770,4395,260,190,785,360,25,20,75,38385,1610,1460,4585
"79","Aboriginal languages","Heiltsuk",5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
"80","Non-Official & Non-Aboriginal languages","Hiligaynon",2320,690,530,1280,780,205,195,360,10,10,10,10,2545,930,515,1370
"81","Non-Official & Non-Aboriginal languages","Hindi",48140,7390,8415,24220,23995,4130,5095,11235,740,105,105,265,207775,29820,27470,70500
"82","Non-Official & Non-Aboriginal languages","Hmong-Mien languages",25,90,10,130,5,60,10,55,0,0,0,0,20,85,30,155
"83","Non-Official & Non-Aboriginal languages","Hungarian",19130,3640,1580,5285,7880,1310,475,1470,220,55,15,15,21890,4350,1870,6480
"84","Non-Official & Non-Aboriginal languages","Icelandic",85,70,35,155,20,15,15,50,0,0,0,0,130,80,60,215
"85","Non-Official & Non-Aboriginal languages","Igbo",1520,710,305,155,410,135,80,35,0,0,0,0,2920,1495,605,235
"86","Non-Official & Non-Aboriginal languages","Ilocano",9415,2595,1845,4605,3450,1025,605,1465,35,15,15,30,12740,3690,2415,5670
"87","Non-Official & Non-Aboriginal languages","Indo-Iranian languages, n.i.e.",1920,955,280,340,770,505,115,175,10,10,0,0,3515,1170,475,755
"88","Aboriginal languages","Inuinnaqtun (Inuvialuktun)",0,5,10,0,0,0,0,0,0,0,0,0,0,20,10,10
"89","Aboriginal languages","Inuit languages, n.i.e.",0,10,20,5,0,5,5,0,0,0,0,0,10,10,25,10
"90","Aboriginal languages","Inuktitut",30,10,40,15,10,0,5,0,0,0,0,0,15,10,30,45
"91","Aboriginal languages","Iroquoian languages, n.i.e.",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92","Non-Official & Non-Aboriginal languages","Italian",151415,5430,4915,15445,51815,1270,1405,3950,775,10,15,85,220425,9560,8385,25610
"93","Non-Official & Non-Aboriginal languages","Italic (Romance) languages, n.i.e.",225,10,15,60,70,0,5,10,10,0,0,0,660,70,95,215
"94","Non-Official & Non-Aboriginal languages","Japanese",9650,2420,1055,16900,4550,1105,480,8230,775,90,35,1545,17460,4405,2540,28630
"95","Non-Official & Non-Aboriginal languages","Kabyle",105,65,75,35,30,30,50,20,0,0,0,0,75,105,85,60
"96","Non-Official & Non-Aboriginal languages","Kannada",2020,285,205,225,825,115,80,95,0,0,0,0,4465,545,380,445
"97","Non-Official & Non-Aboriginal languages","Karenic languages",265,280,435,765,215,235,360,690,0,15,10,40,250,295,475,905
"98","Non-Official & Non-Aboriginal languages","Kashmiri",275,85,20,45,50,50,0,5,0,0,0,0,470,65,60,45
"99","Aboriginal languages","Kaska (Nahani)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"100","Non-Official & Non-Aboriginal languages","Khmer (Cambodian)",3095,880,760,1210,1655,440,385,620,50,0,10,20,4340,1200,1100,1440
"101","Non-Official & Non-Aboriginal languages","Kinyarwanda (Rwanda)",385,125,610,105,115,25,285,45,0,0,0,0,700,105,910,210
"102","Non-Official & Non-Aboriginal languages","Konkani",2155,175,150,225,440,35,35,40,0,0,0,0,5000,385,165,370
"103","Non-Official & Non-Aboriginal languages","Korean",55005,9225,6325,45990,38435,6565,4565,34225,4270,495,260,5075,62350,10245,7180,50640
"104","Non-Official & Non-Aboriginal languages","Kurdish",2775,750,755,1655,1470,460,375,1020,80,0,15,25,3840,1005,860,2070
"105","Aboriginal languages","Kutenai",0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"106","Aboriginal languages","Kwakiutl (Kwak'wala)",0,0,0,15,0,0,0,5,0,0,0,0,0,0,0,40
"107","Non-Official & Non-Aboriginal languages","Lao",2275,470,385,800,1045,185,190,330,15,0,0,0,2895,635,580,1125
"108","Non-Official & Non-Aboriginal languages","Latvian",2260,190,145,320,600,85,55,70,10,0,0,0,2630,265,250,315
"109","Aboriginal languages","Lillooet",0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,20
"110","Non-Official & Non-Aboriginal languages","Lingala",375,85,160,55,95,25,45,35,0,0,0,0,2080,425,750,240
"111","Non-Official & Non-Aboriginal languages","Lithuanian",3190,340,175,330,1045,155,70,90,45,0,0,10,3710,385,295,325
"112","Non-Official & Non-Aboriginal languages","Macedonian",12015,160,180,250,4970,80,90,120,75,0,10,0,16730,270,225,340
"113","Non-Official & Non-Aboriginal languages","Malagasy",30,25,10,15,15,10,10,5,0,0,0,0,90,40,15,0
"114","Non-Official & Non-Aboriginal languages","Malay",4420,800,510,3480,1455,235,135,1050,35,0,0,55,7305,1505,1240,6435
"115","Non-Official & Non-Aboriginal languages","Malayalam",12530,2130,3455,1750,6400,1295,2330,890,55,0,10,0,17255,2600,4550,2585
"116","Aboriginal languages","Malecite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117","Non-Official & Non-Aboriginal languages","Maltese",3525,35,30,80,875,5,10,5,20,0,0,0,4675,40,75,165
"118","Non-Official & Non-Aboriginal languages","Mandarin",227085,28745,19925,174920,179670,21140,14725,138680,26135,1385,710,23195,313600,39405,28215,250175
"119","Non-Official & Non-Aboriginal languages","Marathi",4465,845,535,535,2005,440,335,245,25,0,0,0,8625,1545,840,1275
"120","Aboriginal languages","Mi'kmaq",25,10,10,5,5,0,0,0,0,0,0,0,45,0,0,15
"121","Aboriginal languages","Michif",5,15,30,10,5,5,0,5,0,0,0,0,15,20,50,35
"122","Non-Official & Non-Aboriginal languages","Min Dong",765,45,70,220,240,10,15,65,25,0,0,0,710,60,25,125
"123","Non-Official & Non-Aboriginal languages","Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",11580,1720,1265,10655,5065,675,555,4645,225,15,20,210,13985,2415,1605,15660
"124","Aboriginal languages","Mohawk",15,5,5,5,5,0,0,0,0,0,0,0,45,10,0,10
"125","Non-Official & Non-Aboriginal languages","Mongolian",345,450,85,345,200,280,45,160,0,0,0,10,445,655,145,320
"126","Aboriginal languages","Montagnais (Innu)",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127","Aboriginal languages","Moose Cree",10,5,5,0,5,0,0,0,0,0,0,0,0,0,20,0
"128","Aboriginal languages","Naskapi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129","Non-Official & Non-Aboriginal languages","Nepali",4680,1935,1990,915,3085,1335,1395,555,55,25,10,20,6385,2215,1975,1185
"130","Non-Official & Non-Aboriginal languages","Niger-Congo languages, n.i.e.",2940,1110,1610,610,735,280,495,150,10,0,0,0,6345,2200,3300,1325
"131","Non-Official & Non-Aboriginal languages","Nilo-Saharan languages, n.i.e.",315,785,410,185,75,470,165,65,0,0,0,0,415,920,370,255
"132","Aboriginal languages","Nisga'a",0,0,5,30,0,0,0,10,0,0,0,0,0,0,10,70
"133","Aboriginal languages","North Slavey (Hare)",0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0
"134","Aboriginal languages","Northern East Cree",0,0,20,0,0,0,15,0,0,0,0,0,10,10,10,0
"135","Aboriginal languages","Northern Tutchone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","Non-Official & Non-Aboriginal languages","Norwegian",380,245,210,840,40,25,15,70,10,0,0,15,955,495,450,1405
"137","Aboriginal languages","Nuu-chah-nulth (Nootka)",0,5,0,10,0,0,0,0,10,0,0,0,0,0,0,15
"138","Aboriginal languages","Oji-Cree",10,5,0,5,5,0,0,0,0,0,0,0,10,10,0,0
"139","Aboriginal languages","Ojibway",225,55,90,60,35,5,20,5,0,0,0,0,670,95,165,120
"140","Aboriginal languages","Okanagan",0,0,5,5,0,0,0,0,0,0,0,0,0,0,10,35
"141","Aboriginal languages","Oneida",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
"142","Non-Official & Non-Aboriginal languages","Oriya (Odia)",580,100,70,65,270,50,35,30,0,0,0,0,930,145,105,70
"143","Non-Official & Non-Aboriginal languages","Oromo",1010,950,1130,170,545,710,885,75,15,0,10,0,1390,1370,1210,195
"144","Non-Official & Non-Aboriginal languages","Other languages, n.i.e.",960,330,235,365,320,110,75,110,0,0,10,25,2300,790,700,700
"145","Aboriginal languages","Ottawa (Odawa)",15,0,0,0,5,0,0,0,0,0,0,0,15,10,0,0
"146","Non-Official & Non-Aboriginal languages","Pampangan (Kapampangan, Pampango)",1305,265,340,630,405,65,130,140,10,0,0,0,1600,440,525,775
"147","Non-Official & Non-Aboriginal languages","Pangasinan",455,125,110,265,80,20,25,55,0,0,0,0,450,205,170,440
"148","Non-Official & Non-Aboriginal languages","Pashto",7685,1640,660,1070,4845,1055,430,660,10,15,0,0,11400,2185,810,1540
"149","Non-Official & Non-Aboriginal languages","Persian (Farsi)",100640,9725,4920,41260,67315,6480,3220,27355,2350,120,55,1045,119790,10755,5815,47155
"150","Aboriginal languages","Plains Cree",5,55,350,40,0,10,55,0,0,0,0,0,55,130,965,90
"151","Non-Official & Non-Aboriginal languages","Polish",69860,8145,9380,12040,33320,3275,3805,4485,1490,100,120,95,83540,9560,11320,13815
"152","Non-Official & Non-Aboriginal languages","Portuguese",104305,3695,4625,11950,50210,1770,1915,5115,5065,95,45,495,134220,5365,6100,15675
"153","Non-Official & Non-Aboriginal languages","Punjabi (Panjabi)",171225,38840,27785,151205,116045,29100,20650,104855,5635,1455,975,13125,243880,51065,36190,187530
"154","Non-Official & Non-Aboriginal languages","Quebec Sign Language",0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10
"155","Non-Official & Non-Aboriginal languages","Romanian",25070,4795,2540,7170,12200,2475,1360,3215,245,55,0,65,29770,5945,3015,8265
"156","Non-Official & Non-Aboriginal languages","Rundi (Kirundi)",355,150,400,100,125,65,195,55,0,0,0,0,540,170,595,105
"157","Non-Official & Non-Aboriginal languages","Russian",83105,9555,5725,18175,53670,5785,3260,10795,2515,160,75,435,111165,13705,9245,24000
"158","Aboriginal languages","Salish languages, n.i.e.",0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,65
"159","Aboriginal languages","Sarsi (Sarcee)",10,65,0,5,5,10,0,0,0,10,0,0,0,130,0,0
"160","Non-Official & Non-Aboriginal languages","Scottish Gaelic",165,55,50,125,25,5,5,15,0,0,0,0,650,175,155,345
"161","Aboriginal languages","Sekani",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10
"162","Non-Official & Non-Aboriginal languages","Semitic languages, n.i.e.",925,210,80,135,475,150,55,85,10,0,50,0,1135,250,155,285
"163","Non-Official & Non-Aboriginal languages","Serbian",21420,1860,1835,6300,12200,945,1005,3470,165,10,10,85,27390,2370,2480,8010
"164","Non-Official & Non-Aboriginal languages","Serbo-Croatian",2420,525,360,1145,935,180,120,435,20,0,0,0,2870,580,440,1240
"165","Non-Official & Non-Aboriginal languages","Shona",685,320,570,150,235,95,215,40,0,0,0,0,1175,510,1025,265
"166","Aboriginal languages","Shuswap (Secwepemctsin)",0,0,0,10,0,0,0,5,0,0,0,0,0,0,10,10
"167","Non-Official & Non-Aboriginal languages","Sign languages, n.i.e",750,160,210,355,1190,250,285,530,110,35,45,35,2575,790,1195,1565
"168","Non-Official & Non-Aboriginal languages","Sindhi",5800,1735,940,1575,2490,745,460,595,25,10,0,10,9685,2760,1740,3135
"169","Non-Official & Non-Aboriginal languages","Sinhala (Sinhalese)",7860,960,1310,1460,3580,485,780,595,25,10,0,0,15135,1395,1825,2140
"170","Aboriginal languages","Siouan languages, n.i.e.",0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,15
"171","Aboriginal languages","Slavey, n.o.s.",0,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0
"172","Non-Official & Non-Aboriginal languages","Slavic languages, n.i.e.",510,65,95,175,130,15,25,30,10,0,0,0,630,75,110,245
"173","Non-Official & Non-Aboriginal languages","Slovak",5255,1175,610,2390,2290,465,170,780,50,0,15,10,6085,1605,750,3060
"174","Non-Official & Non-Aboriginal languages","Slovene (Slovenian)",3705,270,290,545,890,40,65,60,0,0,0,0,4455,330,285,725
"175","Non-Official & Non-Aboriginal languages","Somali",13255,1460,6510,1175,7765,890,4740,610,85,10,55,10,18965,2175,8400,1675
"176","Aboriginal languages","South Slavey",0,0,25,0,0,0,5,0,0,0,0,0,0,0,10,0
"177","Aboriginal languages","Southern East Cree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Aboriginal languages","Southern Tutchone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Non-Official & Non-Aboriginal languages","Spanish",126500,28690,18470,36625,70370,17540,10880,18310,3660,725,405,1040,206090,52265,33180,75105
"180","Aboriginal languages","Squamish",0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,225
"181","Aboriginal languages","Stoney",0,90,155,0,0,30,25,0,0,0,0,0,10,95,280,0
"182","Aboriginal languages","Straits",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"183","Non-Official & Non-Aboriginal languages","Swahili",3215,795,1245,585,1230,350,585,155,10,20,0,0,10355,2420,3535,2655
"184","Aboriginal languages","Swampy Cree",30,10,25,15,5,0,0,0,0,0,0,0,30,10,30,20
"185","Non-Official & Non-Aboriginal languages","Swedish",1140,295,265,1290,220,50,65,220,25,0,0,30,2575,640,580,2765
"186","Non-Official & Non-Aboriginal languages","Tagalog (Pilipino, Filipino)",136110,40960,36755,66825,63985,23010,20765,30695,985,305,305,635,193475,57570,50715,96290
"187","Aboriginal languages","Tahltan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"188","Non-Official & Non-Aboriginal languages","Tai-Kadai languages, n.i.e",20,10,15,15,10,5,5,5,0,0,0,0,30,10,20,10
"189","Non-Official & Non-Aboriginal languages","Tamil",109580,1860,2175,3275,76095,1190,1440,1930,1815,20,15,30,146145,3215,3165,4860
"190","Non-Official & Non-Aboriginal languages","Telugu",9010,955,935,920,4875,560,555,425,35,0,0,0,13610,1290,1365,1430
"191","Non-Official & Non-Aboriginal languages","Thai",1645,635,625,1930,580,230,285,670,65,25,30,100,2450,975,830,2870
"192","Aboriginal languages","Thompson (Ntlakapamux)",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,25
"193","Non-Official & Non-Aboriginal languages","Tibetan",4875,550,20,265,3705,395,20,165,45,10,0,10,5465,800,45,305
"194","Non-Official & Non-Aboriginal languages","Tibeto-Burman languages, n.i.e.",335,150,100,220,105,75,60,90,0,0,10,0,505,155,180,295
"195","Non-Official & Non-Aboriginal languages","Tigrigna",4720,2755,2325,695,2480,2050,1655,355,45,15,15,0,5965,3565,3130,935
"196","Aboriginal languages","Tlingit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Aboriginal languages","Tsimshian",0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,65
"198","Non-Official & Non-Aboriginal languages","Turkic languages, n.i.e.",410,140,45,170,150,45,10,40,0,0,0,0,560,200,70,225
"199","Non-Official & Non-Aboriginal languages","Turkish",13695,1265,1745,2770,8155,755,1140,1190,400,25,35,35,20750,1715,2380,4875
"200","Non-Official & Non-Aboriginal languages","Ukrainian",26545,3625,11765,3990,12510,790,2400,1010,675,20,70,20,38030,4770,14420,5960
"201","Non-Official & Non-Aboriginal languages","Uralic languages, n.i.e.",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"202","Non-Official & Non-Aboriginal languages","Urdu",128845,16930,8140,8875,78105,11060,5095,5170,985,105,45,40,194395,26025,12280,14615
"203","Non-Official & Non-Aboriginal languages","Uyghur",385,60,60,170,225,45,35,100,0,0,0,10,490,130,145,105
"204","Non-Official & Non-Aboriginal languages","Uzbek",595,75,110,100,315,55,70,40,0,0,10,0,810,245,145,170
"205","Non-Official & Non-Aboriginal languages","Vietnamese",48000,13540,8865,22955,31755,8925,5860,14365,1735,835,410,1985,62940,17345,11805,29015
"206","Non-Official & Non-Aboriginal languages","Vlaams (Flemish)",280,105,80,195,25,10,15,15,10,0,0,0,260,125,85,225
"207","Aboriginal languages","Wakashan languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Non-Official & Non-Aboriginal languages","Waray-Waray",310,150,70,180,75,50,10,60,0,0,0,0,320,195,100,275
"209","Non-Official & Non-Aboriginal languages","Welsh",150,65,35,120,15,5,0,20,0,0,0,0,235,110,105,140
"210","Non-Official & Non-Aboriginal languages","Wolof",165,120,130,30,75,65,90,5,0,0,10,0,415,330,225,25
"211","Aboriginal languages","Woods Cree",5,10,155,20,0,0,20,5,10,0,0,0,15,60,260,15
"212","Non-Official & Non-Aboriginal languages","Wu (Shanghainese)",5290,380,235,4330,3130,210,120,2495,30,0,0,45,6890,580,260,5385
"213","Non-Official & Non-Aboriginal languages","Yiddish",3355,80,55,220,350,10,0,10,20,0,0,0,6510,175,65,385
"214","Non-Official & Non-Aboriginal languages","Yoruba",3380,1430,700,190,1080,350,280,40,10,0,0,0,7940,3460,1600,505
