"","region","category","language","type","count"
"29","Vancouver","Non-Official & Non-Aboriginal languages","Afrikaans","mother_tongue",1435
"30","Vancouver","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_home",520
"31","Vancouver","Non-Official & Non-Aboriginal languages","Afrikaans","most_at_work",10
"32","Vancouver","Non-Official & Non-Aboriginal languages","Afrikaans","lang_known",4225
"33","Toronto","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","mother_tongue",360
"34","Toronto","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",185
"35","Toronto","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",10
"36","Toronto","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","lang_known",720
"37","Calgary","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","mother_tongue",45
"38","Calgary","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",15
"39","Calgary","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",0
"40","Calgary","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","lang_known",170
"41","Edmonton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","mother_tongue",65
"42","Edmonton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",20
"43","Edmonton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",0
"44","Edmonton","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","lang_known",155
"45","Vancouver","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","mother_tongue",45
"46","Vancouver","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_home",10
"47","Vancouver","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","most_at_work",0
"48","Vancouver","Non-Official & Non-Aboriginal languages","Afro-Asiatic languages, n.i.e.","lang_known",95
"49","Toronto","Non-Official & Non-Aboriginal languages","Akan (Twi)","mother_tongue",8485
"50","Toronto","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",4045
"51","Toronto","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",20
"52","Toronto","Non-Official & Non-Aboriginal languages","Akan (Twi)","lang_known",13715
"53","Calgary","Non-Official & Non-Aboriginal languages","Akan (Twi)","mother_tongue",705
"54","Calgary","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",330
"55","Calgary","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",0
"56","Calgary","Non-Official & Non-Aboriginal languages","Akan (Twi)","lang_known",1150
"57","Edmonton","Non-Official & Non-Aboriginal languages","Akan (Twi)","mother_tongue",885
"58","Edmonton","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",445
"59","Edmonton","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",0
"60","Edmonton","Non-Official & Non-Aboriginal languages","Akan (Twi)","lang_known",1435
"61","Vancouver","Non-Official & Non-Aboriginal languages","Akan (Twi)","mother_tongue",400
"62","Vancouver","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_home",125
"63","Vancouver","Non-Official & Non-Aboriginal languages","Akan (Twi)","most_at_work",10
"64","Vancouver","Non-Official & Non-Aboriginal languages","Akan (Twi)","lang_known",495
"65","Toronto","Non-Official & Non-Aboriginal languages","Albanian","mother_tongue",13260
"66","Toronto","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",6380
"67","Toronto","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",215
"68","Toronto","Non-Official & Non-Aboriginal languages","Albanian","lang_known",15375
"69","Calgary","Non-Official & Non-Aboriginal languages","Albanian","mother_tongue",1365
"70","Calgary","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",620
"71","Calgary","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",25
"72","Calgary","Non-Official & Non-Aboriginal languages","Albanian","lang_known",1735
"73","Edmonton","Non-Official & Non-Aboriginal languages","Albanian","mother_tongue",770
"74","Edmonton","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",370
"75","Edmonton","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",10
"76","Edmonton","Non-Official & Non-Aboriginal languages","Albanian","lang_known",885
"77","Vancouver","Non-Official & Non-Aboriginal languages","Albanian","mother_tongue",1090
"78","Vancouver","Non-Official & Non-Aboriginal languages","Albanian","most_at_home",530
"79","Vancouver","Non-Official & Non-Aboriginal languages","Albanian","most_at_work",10
"80","Vancouver","Non-Official & Non-Aboriginal languages","Albanian","lang_known",1135
"81","Toronto","Aboriginal languages","Algonquian languages, n.i.e.","mother_tongue",5
"82","Toronto","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",5
"83","Toronto","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"84","Toronto","Aboriginal languages","Algonquian languages, n.i.e.","lang_known",10
"85","Calgary","Aboriginal languages","Algonquian languages, n.i.e.","mother_tongue",0
"86","Calgary","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",0
"87","Calgary","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"88","Calgary","Aboriginal languages","Algonquian languages, n.i.e.","lang_known",0
"89","Edmonton","Aboriginal languages","Algonquian languages, n.i.e.","mother_tongue",0
"90","Edmonton","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",0
"91","Edmonton","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"92","Edmonton","Aboriginal languages","Algonquian languages, n.i.e.","lang_known",0
"93","Vancouver","Aboriginal languages","Algonquian languages, n.i.e.","mother_tongue",0
"94","Vancouver","Aboriginal languages","Algonquian languages, n.i.e.","most_at_home",0
"95","Vancouver","Aboriginal languages","Algonquian languages, n.i.e.","most_at_work",0
"96","Vancouver","Aboriginal languages","Algonquian languages, n.i.e.","lang_known",0
"97","Toronto","Aboriginal languages","Algonquin","mother_tongue",5
"98","Toronto","Aboriginal languages","Algonquin","most_at_home",0
"99","Toronto","Aboriginal languages","Algonquin","most_at_work",0
"100","Toronto","Aboriginal languages","Algonquin","lang_known",15
"101","Calgary","Aboriginal languages","Algonquin","mother_tongue",5
"102","Calgary","Aboriginal languages","Algonquin","most_at_home",0
"103","Calgary","Aboriginal languages","Algonquin","most_at_work",0
"104","Calgary","Aboriginal languages","Algonquin","lang_known",0
"105","Edmonton","Aboriginal languages","Algonquin","mother_tongue",0
"106","Edmonton","Aboriginal languages","Algonquin","most_at_home",0
"107","Edmonton","Aboriginal languages","Algonquin","most_at_work",0
"108","Edmonton","Aboriginal languages","Algonquin","lang_known",0
"109","Vancouver","Aboriginal languages","Algonquin","mother_tongue",5
"110","Vancouver","Aboriginal languages","Algonquin","most_at_home",0
"111","Vancouver","Aboriginal languages","Algonquin","most_at_work",0
"112","Vancouver","Aboriginal languages","Algonquin","lang_known",15
"113","Toronto","Non-Official & Non-Aboriginal languages","American Sign Language","mother_tongue",470
"114","Toronto","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",720
"115","Toronto","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",245
"116","Toronto","Non-Official & Non-Aboriginal languages","American Sign Language","lang_known",3505
"117","Calgary","Non-Official & Non-Aboriginal languages","American Sign Language","mother_tongue",100
"118","Calgary","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",85
"119","Calgary","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",25
"120","Calgary","Non-Official & Non-Aboriginal languages","American Sign Language","lang_known",910
"121","Edmonton","Non-Official & Non-Aboriginal languages","American Sign Language","mother_tongue",180
"122","Edmonton","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",190
"123","Edmonton","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",85
"124","Edmonton","Non-Official & Non-Aboriginal languages","American Sign Language","lang_known",1540
"125","Vancouver","Non-Official & Non-Aboriginal languages","American Sign Language","mother_tongue",265
"126","Vancouver","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_home",300
"127","Vancouver","Non-Official & Non-Aboriginal languages","American Sign Language","most_at_work",140
"128","Vancouver","Non-Official & Non-Aboriginal languages","American Sign Language","lang_known",2035
"129","Toronto","Non-Official & Non-Aboriginal languages","Amharic","mother_tongue",7460
"130","Toronto","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",3820
"131","Toronto","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",55
"132","Toronto","Non-Official & Non-Aboriginal languages","Amharic","lang_known",11435
"133","Calgary","Non-Official & Non-Aboriginal languages","Amharic","mother_tongue",4075
"134","Calgary","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",2730
"135","Calgary","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",50
"136","Calgary","Non-Official & Non-Aboriginal languages","Amharic","lang_known",5775
"137","Edmonton","Non-Official & Non-Aboriginal languages","Amharic","mother_tongue",2515
"138","Edmonton","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",1695
"139","Edmonton","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",35
"140","Edmonton","Non-Official & Non-Aboriginal languages","Amharic","lang_known",4090
"141","Vancouver","Non-Official & Non-Aboriginal languages","Amharic","mother_tongue",1140
"142","Vancouver","Non-Official & Non-Aboriginal languages","Amharic","most_at_home",540
"143","Vancouver","Non-Official & Non-Aboriginal languages","Amharic","most_at_work",10
"144","Vancouver","Non-Official & Non-Aboriginal languages","Amharic","lang_known",1755
"145","Toronto","Non-Official & Non-Aboriginal languages","Arabic","mother_tongue",85175
"146","Toronto","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",45025
"147","Toronto","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",1165
"148","Toronto","Non-Official & Non-Aboriginal languages","Arabic","lang_known",125970
"149","Calgary","Non-Official & Non-Aboriginal languages","Arabic","mother_tongue",18965
"150","Calgary","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",11010
"151","Calgary","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",240
"152","Calgary","Non-Official & Non-Aboriginal languages","Arabic","lang_known",28535
"153","Edmonton","Non-Official & Non-Aboriginal languages","Arabic","mother_tongue",17525
"154","Edmonton","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",10590
"155","Edmonton","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",325
"156","Edmonton","Non-Official & Non-Aboriginal languages","Arabic","lang_known",28265
"157","Vancouver","Non-Official & Non-Aboriginal languages","Arabic","mother_tongue",14320
"158","Vancouver","Non-Official & Non-Aboriginal languages","Arabic","most_at_home",8680
"159","Vancouver","Non-Official & Non-Aboriginal languages","Arabic","most_at_work",275
"160","Vancouver","Non-Official & Non-Aboriginal languages","Arabic","lang_known",19995
"161","Toronto","Non-Official & Non-Aboriginal languages","Armenian","mother_tongue",12575
"162","Toronto","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",7475
"163","Toronto","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",140
"164","Toronto","Non-Official & Non-Aboriginal languages","Armenian","lang_known",15225
"165","Calgary","Non-Official & Non-Aboriginal languages","Armenian","mother_tongue",250
"166","Calgary","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",110
"167","Calgary","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",0
"168","Calgary","Non-Official & Non-Aboriginal languages","Armenian","lang_known",295
"169","Edmonton","Non-Official & Non-Aboriginal languages","Armenian","mother_tongue",170
"170","Edmonton","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",75
"171","Edmonton","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",0
"172","Edmonton","Non-Official & Non-Aboriginal languages","Armenian","lang_known",200
"173","Vancouver","Non-Official & Non-Aboriginal languages","Armenian","mother_tongue",1060
"174","Vancouver","Non-Official & Non-Aboriginal languages","Armenian","most_at_home",505
"175","Vancouver","Non-Official & Non-Aboriginal languages","Armenian","most_at_work",0
"176","Vancouver","Non-Official & Non-Aboriginal languages","Armenian","lang_known",1460
"177","Toronto","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","mother_tongue",10200
"178","Toronto","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",6790
"179","Toronto","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",110
"180","Toronto","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","lang_known",12500
"181","Calgary","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","mother_tongue",295
"182","Calgary","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",200
"183","Calgary","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",10
"184","Calgary","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","lang_known",330
"185","Edmonton","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","mother_tongue",75
"186","Edmonton","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",40
"187","Edmonton","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",0
"188","Edmonton","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","lang_known",65
"189","Vancouver","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","mother_tongue",630
"190","Vancouver","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_home",400
"191","Vancouver","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","most_at_work",25
"192","Vancouver","Non-Official & Non-Aboriginal languages","Assyrian Neo-Aramaic","lang_known",715
"193","Toronto","Aboriginal languages","Athabaskan languages, n.i.e.","mother_tongue",5
"194","Toronto","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",5
"195","Toronto","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"196","Toronto","Aboriginal languages","Athabaskan languages, n.i.e.","lang_known",0
"197","Calgary","Aboriginal languages","Athabaskan languages, n.i.e.","mother_tongue",0
"198","Calgary","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",0
"199","Calgary","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"200","Calgary","Aboriginal languages","Athabaskan languages, n.i.e.","lang_known",0
"201","Edmonton","Aboriginal languages","Athabaskan languages, n.i.e.","mother_tongue",0
"202","Edmonton","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",0
"203","Edmonton","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"204","Edmonton","Aboriginal languages","Athabaskan languages, n.i.e.","lang_known",0
"205","Vancouver","Aboriginal languages","Athabaskan languages, n.i.e.","mother_tongue",5
"206","Vancouver","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_home",0
"207","Vancouver","Aboriginal languages","Athabaskan languages, n.i.e.","most_at_work",0
"208","Vancouver","Aboriginal languages","Athabaskan languages, n.i.e.","lang_known",10
"209","Toronto","Aboriginal languages","Atikamekw","mother_tongue",0
"210","Toronto","Aboriginal languages","Atikamekw","most_at_home",0
"211","Toronto","Aboriginal languages","Atikamekw","most_at_work",0
"212","Toronto","Aboriginal languages","Atikamekw","lang_known",0
"213","Calgary","Aboriginal languages","Atikamekw","mother_tongue",0
"214","Calgary","Aboriginal languages","Atikamekw","most_at_home",0
"215","Calgary","Aboriginal languages","Atikamekw","most_at_work",0
"216","Calgary","Aboriginal languages","Atikamekw","lang_known",0
"217","Edmonton","Aboriginal languages","Atikamekw","mother_tongue",0
"218","Edmonton","Aboriginal languages","Atikamekw","most_at_home",0
"219","Edmonton","Aboriginal languages","Atikamekw","most_at_work",0
"220","Edmonton","Aboriginal languages","Atikamekw","lang_known",0
"221","Vancouver","Aboriginal languages","Atikamekw","mother_tongue",0
"222","Vancouver","Aboriginal languages","Atikamekw","most_at_home",0
"223","Vancouver","Aboriginal languages","Atikamekw","most_at_work",0
"224","Vancouver","Aboriginal languages","Atikamekw","lang_known",0
"225","Toronto","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","mother_tongue",65
"226","Toronto","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",35
"227","Toronto","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"228","Toronto","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","lang_known",40
"229","Calgary","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","mother_tongue",5
"230","Calgary","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",5
"231","Calgary","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"232","Calgary","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","lang_known",10
"233","Edmonton","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","mother_tongue",10
"234","Edmonton","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",0
"235","Edmonton","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"236","Edmonton","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","lang_known",15
"237","Vancouver","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","mother_tongue",35
"238","Vancouver","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_home",15
"239","Vancouver","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","most_at_work",0
"240","Vancouver","Non-Official & Non-Aboriginal languages","Austro-Asiatic languages, n.i.e","lang_known",60
"241","Toronto","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","mother_tongue",1015
"242","Toronto","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",280
"243","Toronto","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",10
"244","Toronto","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","lang_known",1275
"245","Calgary","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","mother_tongue",485
"246","Calgary","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",145
"247","Calgary","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",0
"248","Calgary","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","lang_known",570
"249","Edmonton","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","mother_tongue",285
"250","Edmonton","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",85
"251","Edmonton","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",0
"252","Edmonton","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","lang_known",420
"253","Vancouver","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","mother_tongue",830
"254","Vancouver","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_home",260
"255","Vancouver","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","most_at_work",20
"256","Vancouver","Non-Official & Non-Aboriginal languages","Austronesian languages, n.i.e.","lang_known",1175
"257","Toronto","Non-Official & Non-Aboriginal languages","Azerbaijani","mother_tongue",1615
"258","Toronto","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",650
"259","Toronto","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",15
"260","Toronto","Non-Official & Non-Aboriginal languages","Azerbaijani","lang_known",2650
"261","Calgary","Non-Official & Non-Aboriginal languages","Azerbaijani","mother_tongue",240
"262","Calgary","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",100
"263","Calgary","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",0
"264","Calgary","Non-Official & Non-Aboriginal languages","Azerbaijani","lang_known",350
"265","Edmonton","Non-Official & Non-Aboriginal languages","Azerbaijani","mother_tongue",120
"266","Edmonton","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",50
"267","Edmonton","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",0
"268","Edmonton","Non-Official & Non-Aboriginal languages","Azerbaijani","lang_known",250
"269","Vancouver","Non-Official & Non-Aboriginal languages","Azerbaijani","mother_tongue",500
"270","Vancouver","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_home",185
"271","Vancouver","Non-Official & Non-Aboriginal languages","Azerbaijani","most_at_work",10
"272","Vancouver","Non-Official & Non-Aboriginal languages","Azerbaijani","lang_known",840
"273","Toronto","Aboriginal languages","Babine (Wetsuwet'en)","mother_tongue",0
"274","Toronto","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"275","Toronto","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"276","Toronto","Aboriginal languages","Babine (Wetsuwet'en)","lang_known",0
"277","Calgary","Aboriginal languages","Babine (Wetsuwet'en)","mother_tongue",0
"278","Calgary","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"279","Calgary","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"280","Calgary","Aboriginal languages","Babine (Wetsuwet'en)","lang_known",0
"281","Edmonton","Aboriginal languages","Babine (Wetsuwet'en)","mother_tongue",0
"282","Edmonton","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"283","Edmonton","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"284","Edmonton","Aboriginal languages","Babine (Wetsuwet'en)","lang_known",0
"285","Vancouver","Aboriginal languages","Babine (Wetsuwet'en)","mother_tongue",5
"286","Vancouver","Aboriginal languages","Babine (Wetsuwet'en)","most_at_home",0
"287","Vancouver","Aboriginal languages","Babine (Wetsuwet'en)","most_at_work",0
"288","Vancouver","Aboriginal languages","Babine (Wetsuwet'en)","lang_known",0
"289","Toronto","Non-Official & Non-Aboriginal languages","Bamanankan","mother_tongue",55
"290","Toronto","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",15
"291","Toronto","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"292","Toronto","Non-Official & Non-Aboriginal languages","Bamanankan","lang_known",200
"293","Calgary","Non-Official & Non-Aboriginal languages","Bamanankan","mother_tongue",15
"294","Calgary","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",5
"295","Calgary","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"296","Calgary","Non-Official & Non-Aboriginal languages","Bamanankan","lang_known",20
"297","Edmonton","Non-Official & Non-Aboriginal languages","Bamanankan","mother_tongue",20
"298","Edmonton","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",0
"299","Edmonton","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"300","Edmonton","Non-Official & Non-Aboriginal languages","Bamanankan","lang_known",35
"301","Vancouver","Non-Official & Non-Aboriginal languages","Bamanankan","mother_tongue",10
"302","Vancouver","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_home",5
"303","Vancouver","Non-Official & Non-Aboriginal languages","Bamanankan","most_at_work",0
"304","Vancouver","Non-Official & Non-Aboriginal languages","Bamanankan","lang_known",20
"305","Toronto","Aboriginal languages","Beaver","mother_tongue",0
"306","Toronto","Aboriginal languages","Beaver","most_at_home",0
"307","Toronto","Aboriginal languages","Beaver","most_at_work",0
"308","Toronto","Aboriginal languages","Beaver","lang_known",0
"309","Calgary","Aboriginal languages","Beaver","mother_tongue",0
"310","Calgary","Aboriginal languages","Beaver","most_at_home",0
"311","Calgary","Aboriginal languages","Beaver","most_at_work",0
"312","Calgary","Aboriginal languages","Beaver","lang_known",0
"313","Edmonton","Aboriginal languages","Beaver","mother_tongue",5
"314","Edmonton","Aboriginal languages","Beaver","most_at_home",0
"315","Edmonton","Aboriginal languages","Beaver","most_at_work",0
"316","Edmonton","Aboriginal languages","Beaver","lang_known",0
"317","Vancouver","Aboriginal languages","Beaver","mother_tongue",0
"318","Vancouver","Aboriginal languages","Beaver","most_at_home",0
"319","Vancouver","Aboriginal languages","Beaver","most_at_work",0
"320","Vancouver","Aboriginal languages","Beaver","lang_known",0
"321","Toronto","Non-Official & Non-Aboriginal languages","Belarusan","mother_tongue",355
"322","Toronto","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",125
"323","Toronto","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"324","Toronto","Non-Official & Non-Aboriginal languages","Belarusan","lang_known",945
"325","Calgary","Non-Official & Non-Aboriginal languages","Belarusan","mother_tongue",20
"326","Calgary","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",0
"327","Calgary","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"328","Calgary","Non-Official & Non-Aboriginal languages","Belarusan","lang_known",70
"329","Edmonton","Non-Official & Non-Aboriginal languages","Belarusan","mother_tongue",35
"330","Edmonton","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",10
"331","Edmonton","Non-Official & Non-Aboriginal languages","Belarusan","most_at_work",0
"332","Edmonton","Non-Official & Non-Aboriginal languages","Belarusan","lang_known",110
"333","Vancouver","Non-Official & Non-Aboriginal languages","Belarusan","mother_tongue",60
"334","Vancouver","Non-Official & Non-Aboriginal languages","Belarusan","most_at_home",10
