id,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price
52,Grandview-Woodland,Private room,2,1 private bath,1,1,42
53,Renfrew-Collingwood,Private room,2,1 private bath,1,1,60
54,Downtown Eastside,Entire home/apt,4,1 bath,2,2,245
55,Downtown Eastside,Entire home/apt,2,1 bath,1,1,212
56,Downtown,Entire home/apt,2,1 bath,1,1,122
57,Killarney,Private room,2,1 private bath,1,1,90
58,Killarney,Private room,2,1 private bath,1,1,90
59,Downtown Eastside,Entire home/apt,3,1.5 baths,1,1,347
60,Downtown,Entire home/apt,4,1 bath,1,3,124
61,Kensington-Cedar Cottage,Entire home/apt,8,2 baths,4,5,650
62,Downtown,Entire home/apt,4,1 bath,1,0,240
63,South Cambie,Entire home/apt,4,1 bath,2,2,90
64,Kensington-Cedar Cottage,Entire home/apt,6,1 bath,3,3,500
65,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,80
66,Downtown Eastside,Entire home/apt,2,1 bath,1,4,140
67,Downtown,Entire home/apt,6,2 baths,3,2,724
68,Grandview-Woodland,Entire home/apt,9,2 baths,5,6,300
69,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,62
70,West End,Entire home/apt,4,2 baths,2,3,130
71,Kensington-Cedar Cottage,Entire home/apt,1,1 bath,1,1,77
72,South Cambie,Private room,2,1 private bath,1,1,97.52
73,Kensington-Cedar Cottage,Private room,1,1 shared bath,1,1,60
74,West End,Entire home/apt,4,1 bath,1,2,310
75,Kitsilano,Entire home/apt,6,1.5 baths,3,4,285
76,Downtown Eastside,Entire home/apt,2,1 bath,1,1,125
77,West End,Entire home/apt,2,1 bath,1,1,135
78,Downtown,Entire home/apt,3,1 bath,1,1,148.26
79,Kitsilano,Entire home/apt,2,1 bath,1,2,150
80,West End,Entire home/apt,2,1 bath,1,1,102
81,Kitsilano,Entire home/apt,4,1 bath,2,2,125
82,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,50
83,Downtown,Entire home/apt,6,2 baths,2,2,350
84,Kitsilano,Entire home/apt,2,1 bath,1,1,66
85,Kitsilano,Private room,2,1 private bath,1,1,47
86,Kitsilano,Entire home/apt,3,2 baths,2,3,114
87,Downtown,Entire home/apt,4,2 baths,2,2,325
88,West End,Shared room,1,1 shared bath,1,1,30
89,Fairview,Entire home/apt,2,1 bath,1,1,66
90,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,84
91,Downtown,Entire home/apt,4,1 bath,1,3,170
92,Mount Pleasant,Entire home/apt,6,2.5 baths,3,4,420
93,Fairview,Private room,2,1 private bath,1,1,79
94,Kitsilano,Entire home/apt,5,1 bath,2,3,275
95,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,130
96,Grandview-Woodland,Entire home/apt,3,1 bath,1,1,100
97,Downtown,Entire home/apt,2,1 bath,1,1,95
98,Downtown,Entire home/apt,2,1 bath,1,1,175
99,Riley Park,Entire home/apt,4,1 bath,2,2,219
100,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,130
101,Downtown,Entire home/apt,4,1 bath,1,2,125
102,West End,Entire home/apt,4,2 baths,2,2,88
103,Dunbar Southlands,Private room,1,1 shared bath,1,1,71
104,Downtown,Entire home/apt,4,2 baths,2,2,280
105,Downtown,Entire home/apt,2,1 bath,1,1,180
106,Mount Pleasant,Entire home/apt,2,1.5 baths,1,1,90
107,Kitsilano,Entire home/apt,4,1 bath,2,2,225
108,Grandview-Woodland,Private room,2,1 private bath,1,1,95
109,Downtown,Entire home/apt,8,2 baths,3,4,173
110,West End,Entire home/apt,2,1 bath,1,1,55
111,Kitsilano,Entire home/apt,8,2 baths,4,7,480
112,West End,Private room,2,1 private bath,1,1,56
113,Downtown,Entire home/apt,3,1 bath,1,3,139
114,Downtown Eastside,Entire home/apt,4,1 bath,2,2,160
115,Victoria-Fraserview,Private room,2,1 private bath,1,1,55
116,Grandview-Woodland,Private room,2,1 shared bath,1,1,50
117,Kitsilano,Entire home/apt,5,1.5 baths,3,3,350
118,Grandview-Woodland,Entire home/apt,4,1 bath,2,2,159
119,Mount Pleasant,Private room,2,1 shared bath,1,1,95
120,Downtown,Entire home/apt,4,1 bath,1,1,525
121,Kitsilano,Entire home/apt,2,1.5 baths,1,1,185
122,Downtown,Private room,4,1 private bath,1,1,159
123,Dunbar Southlands,Entire home/apt,7,2.5 baths,4,4,275
124,Kitsilano,Entire home/apt,6,2 baths,3,4,184
125,Hastings-Sunrise,Entire home/apt,5,1 bath,3,3,100
126,Downtown,Entire home/apt,2,1 bath,1,1,80
127,Strathcona,Entire home/apt,2,1 bath,1,1,95
128,West End,Private room,2,1 private bath,1,1,63
129,Downtown,Entire home/apt,2,1 bath,1,1,97
130,West Point Grey,Entire home/apt,3,1 bath,1,3,99
131,Downtown,Entire home/apt,2,1 bath,1,1,225
132,Downtown,Private room,2,1 private bath,1,1,99
133,Arbutus Ridge,Entire home/apt,3,1 bath,1,2,104
134,Mount Pleasant,Entire home/apt,6,2 baths,2,4,450
135,Grandview-Woodland,Entire home/apt,6,2 baths,3,3,399
136,Killarney,Private room,1,2 shared baths,1,1,69
137,Mount Pleasant,Entire home/apt,2,1 bath,1,1,110
138,Downtown,Entire home/apt,2,1 bath,1,1,78
139,West End,Entire home/apt,2,1 bath,1,1,115
140,Mount Pleasant,Private room,1,1 private bath,1,1,64.86
141,Grandview-Woodland,Private room,1,1 shared bath,1,1,90
142,Downtown,Entire home/apt,2,2 baths,1,1,98
143,Riley Park,Private room,2,1 private bath,1,0,60
144,Kensington-Cedar Cottage,Private room,4,1 shared bath,1,1,33
145,Kitsilano,Entire home/apt,5,2 baths,2,3,450
146,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,60
147,Riley Park,Entire home/apt,4,1 bath,2,2,88
148,Riley Park,Entire home/apt,2,1 bath,1,1,65
149,Downtown,Entire home/apt,3,2 baths,2,2,250
150,Kensington-Cedar Cottage,Entire home/apt,6,3 baths,3,3,92
151,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,1,2,149
152,Hastings-Sunrise,Entire home/apt,4,1 bath,1,1,130
153,Kitsilano,Entire home/apt,4,1.5 baths,1,0,100
154,Oakridge,Entire home/apt,3,1 bath,1,1,79
155,Riley Park,Entire home/apt,4,1 bath,2,2,143
156,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,100
157,Downtown,Private room,3,1 shared bath,1,1,77.71
158,Riley Park,Entire home/apt,2,1 bath,1,1,118
159,Mount Pleasant,Entire home/apt,5,2.5 baths,3,3,285
160,Downtown Eastside,Entire home/apt,2,1 bath,1,1,125
161,Mount Pleasant,Entire home/apt,4,1 bath,2,3,150
162,Downtown,Entire home/apt,2,1 bath,1,1,85
163,Kitsilano,Entire home/apt,4,1 bath,2,2,150
164,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,97
165,Shaughnessy,Entire home/apt,2,1 bath,1,1,70
166,Mount Pleasant,Entire home/apt,3,1 bath,1,2,55
167,Grandview-Woodland,Entire home/apt,4,1 bath,1,2,100
168,West End,Entire home/apt,4,2 baths,2,2,145
169,Grandview-Woodland,Entire home/apt,4,2 baths,3,2,108
170,Downtown,Entire home/apt,3,1 bath,1,1,132
171,Kitsilano,Private room,1,1 shared bath,1,1,51
172,Kerrisdale,Entire home/apt,4,1 bath,1,2,129
173,Kitsilano,Private room,4,1 private bath,2,4,110
174,South Cambie,Entire home/apt,4,1 bath,2,2,112
175,Fairview,Entire home/apt,2,1 bath,1,1,120
176,Strathcona,Entire home/apt,2,2 baths,1,1,160
177,Kitsilano,Entire home/apt,8,3 baths,4,4,575
178,Grandview-Woodland,Entire home/apt,6,2.5 baths,3,3,189
179,Kitsilano,Entire home/apt,2,1 bath,1,1,108
180,Kitsilano,Entire home/apt,4,1 bath,2,2,250
181,Downtown,Entire home/apt,3,1 bath,1,1,110
182,Riley Park,Entire home/apt,4,1 bath,2,2,219
183,Downtown,Entire home/apt,4,1 bath,2,2,110
184,Kensington-Cedar Cottage,Private room,1,1 shared bath,1,1,33
185,Mount Pleasant,Entire home/apt,2,1 bath,1,1,120
186,Renfrew-Collingwood,Private room,1,1.5 baths,1,1,65
187,Kitsilano,Private room,2,2 shared baths,1,1,58
188,Kitsilano,Private room,1,2 shared baths,1,1,43
189,Fairview,Entire home/apt,4,2 baths,2,2,175
190,Kitsilano,Entire home/apt,2,1 bath,1,1,161
191,West End,Entire home/apt,6,2 baths,2,4,300
192,Downtown,Entire home/apt,4,1 bath,1,2,161
193,Downtown,Entire home/apt,3,1 bath,2,2,115
194,Kitsilano,Entire home/apt,4,1 bath,2,3,85
195,Downtown,Shared room,1,1 shared bath,1,1,42
196,Grandview-Woodland,Entire home/apt,2,1.5 baths,1,1,150
197,Victoria-Fraserview,Private room,1,1.5 shared baths,1,1,50
198,Dunbar Southlands,Entire home/apt,8,2.5 baths,4,4,550
199,Downtown,Entire home/apt,4,2 baths,2,2,375
200,Downtown,Entire home/apt,4,1 bath,1,2,70
201,Dunbar Southlands,Entire home/apt,4,1 bath,2,0,203.57
202,Downtown,Entire home/apt,4,2 baths,1,2,135
203,Kensington-Cedar Cottage,Entire home/apt,5,1 bath,2,3,90
204,Mount Pleasant,Entire home/apt,4,1.5 baths,2,4,200
205,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,1,2,125
206,Downtown,Entire home/apt,2,1 bath,1,1,177
207,Downtown,Entire home/apt,2,1 bath,1,2,259
208,Downtown,Entire home/apt,3,1 bath,1,3,300
209,Mount Pleasant,Entire home/apt,2,1 bath,1,1,69
210,Downtown,Entire home/apt,2,1 bath,1,2,450
211,West End,Private room,2,1 private bath,1,1,179
212,West End,Entire home/apt,4,1 bath,1,2,206
213,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,125
214,Fairview,Entire home/apt,2,1 bath,1,1,110
215,South Cambie,Entire home/apt,2,1 bath,1,2,112
216,Hastings-Sunrise,Private room,2,1 shared bath,1,1,45
217,Grandview-Woodland,Entire home/apt,3,1 bath,1,1,113
218,Downtown,Entire home/apt,4,1 bath,1,1,183
219,Downtown,Entire home/apt,4,1 bath,2,2,86
220,Kitsilano,Entire home/apt,4,2 baths,2,2,600
221,Victoria-Fraserview,Private room,1,1.5 shared baths,1,1,50
222,Dunbar Southlands,Entire home/apt,3,1 bath,1,1,120
223,Kitsilano,Entire home/apt,2,1 bath,1,1,106
224,Mount Pleasant,Entire home/apt,2,1 bath,1,1,168
225,Dunbar Southlands,Private room,1,1 bath,1,1,83
226,Downtown,Entire home/apt,2,1 bath,1,1,164
227,Mount Pleasant,Entire home/apt,4,1 bath,2,2,160
228,South Cambie,Entire home/apt,2,1 bath,1,1,95
229,Downtown,Entire home/apt,4,2 baths,2,3,132
230,Dunbar Southlands,Entire home/apt,8,3 baths,4,5,500
231,Downtown,Entire home/apt,2,1 bath,2,1,158
232,West Point Grey,Entire home/apt,2,1 bath,1,1,95
233,Downtown,Entire home/apt,2,1 bath,1,1,104
234,West End,Private room,2,1 bath,1,1,90
235,West Point Grey,Entire home/apt,3,2.5 baths,2,2,225
236,West End,Entire home/apt,4,1 bath,2,3,82
237,West End,Entire home/apt,2,1 bath,1,1,85
238,West End,Private room,1,1 private bath,1,1,129
239,West End,Entire home/apt,2,1 bath,1,1,109
240,West Point Grey,Entire home/apt,4,1 bath,2,0,250
241,Downtown,Entire home/apt,2,1 bath,1,1,108
242,Hastings-Sunrise,Private room,2,1 shared bath,1,1,50
243,Downtown,Private room,2,1 private bath,1,1,70.23
244,Kitsilano,Entire home/apt,3,1 bath,2,2,119
245,Kitsilano,Entire home/apt,5,2 baths,3,3,425
246,Downtown,Entire home/apt,2,1 bath,1,0,98
247,Downtown,Entire home/apt,4,1 bath,1,1,95
248,Downtown,Entire home/apt,2,1 bath,1,1,98
249,Mount Pleasant,Entire home/apt,2,1 bath,1,1,138
250,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,39
251,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,75
252,Grandview-Woodland,Entire home/apt,6,1 bath,3,3,146
253,Downtown,Entire home/apt,4,2 baths,2,2,200
254,Downtown Eastside,Entire home/apt,4,1 bath,2,2,284
255,Downtown,Entire home/apt,4,1.5 baths,2,2,300
256,Kitsilano,Entire home/apt,4,1 bath,2,3,250
257,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,34
258,Riley Park,Entire home/apt,2,1 bath,1,1,120
259,West End,Entire home/apt,2,1 bath,1,1,82
260,Downtown,Entire home/apt,2,1 bath,1,1,78
261,West End,Entire home/apt,2,1 bath,1,1,89
262,Downtown,Entire home/apt,2,1 bath,1,1,109
263,Downtown,Entire home/apt,4,2 baths,2,2,200
264,Downtown,Entire home/apt,2,1 bath,1,1,68
265,Downtown,Entire home/apt,2,1 bath,1,1,142
266,Downtown,Entire home/apt,2,1 bath,1,1,78
267,Kitsilano,Entire home/apt,5,1.5 baths,3,4,457
268,West End,Entire home/apt,2,1 bath,1,1,80
269,Downtown,Entire home/apt,6,2 baths,2,0,350
270,West End,Private room,2,1 private bath,1,1,195
271,Kitsilano,Entire home/apt,4,1 bath,2,2,245
272,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,99
273,Kitsilano,Entire home/apt,6,2 baths,4,5,560
274,Hastings-Sunrise,Entire home/apt,5,2 baths,3,4,225
275,Downtown,Entire home/apt,5,2 baths,2,2,115
276,West End,Entire home/apt,2,1 bath,1,0,95
277,Kitsilano,Entire home/apt,3,2.5 baths,2,2,198
278,Renfrew-Collingwood,Private room,2,1 bath,1,1,50
279,Downtown,Entire home/apt,2,1.5 baths,1,1,142
280,Kitsilano,Entire home/apt,6,4 baths,3,3,413
281,Renfrew-Collingwood,Private room,2,1 shared bath,1,1,40
282,Grandview-Woodland,Entire home/apt,5,1 bath,2,2,199
283,Downtown,Entire home/apt,5,2 baths,2,4,125
284,Killarney,Private room,2,1 private bath,1,1,61
285,Kitsilano,Entire home/apt,4,1 bath,1,1,170
286,West Point Grey,Private room,3,1.5 baths,1,1,98
287,Hastings-Sunrise,Private room,2,1 shared bath,1,1,55
288,Downtown,Entire home/apt,4,2 baths,2,2,115
289,Downtown,Entire home/apt,4,1 bath,2,2,490
290,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,80
291,Renfrew-Collingwood,Private room,3,1 shared bath,1,2,52
292,Kitsilano,Entire home/apt,1,1 bath,1,1,275
293,West End,Entire home/apt,5,2 baths,3,4,119
294,Grandview-Woodland,Entire home/apt,4,1 bath,1,2,110
295,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,117
296,Kitsilano,Private room,1,1 shared bath,1,1,100
297,West Point Grey,Entire home/apt,6,1.5 baths,2,4,228.57
298,Fairview,Entire home/apt,4,2 baths,2,2,225
299,Downtown,Entire home/apt,2,1 bath,1,1,165
300,Kitsilano,Entire home/apt,2,1 bath,1,2,180
301,Riley Park,Entire home/apt,6,2 baths,3,4,132
302,Mount Pleasant,Entire home/apt,9,2 baths,3,4,199
303,Downtown,Entire home/apt,2,1 bath,1,1,115
304,Riley Park,Private room,2,1 bath,1,1,50
305,West End,Entire home/apt,4,1 bath,1,2,190
306,Mount Pleasant,Private room,1,1 private bath,1,1,110
307,Grandview-Woodland,Private room,2,1 private bath,1,1,75
308,Kitsilano,Entire home/apt,4,1 bath,2,3,175
309,Kitsilano,Entire home/apt,5,2 baths,2,2,300
310,Downtown Eastside,Entire home/apt,2,1 bath,1,1,122
311,Kitsilano,Entire home/apt,2,1 bath,1,2,80
312,Kitsilano,Entire home/apt,2,1.5 baths,1,1,95
313,Kitsilano,Entire home/apt,6,1 bath,3,0,202
314,Downtown,Entire home/apt,2,1 bath,1,2,115
315,Kitsilano,Entire home/apt,2,1 bath,1,1,199
316,Downtown Eastside,Entire home/apt,5,2 baths,3,5,200
317,Mount Pleasant,Entire home/apt,4,1 bath,1,2,85
318,Mount Pleasant,Entire home/apt,4,2 baths,2,3,249
319,Mount Pleasant,Entire home/apt,2,2 baths,1,1,199
320,West End,Private room,1,1 shared bath,1,2,100
321,Downtown,Entire home/apt,4,1 bath,2,2,432
322,Downtown,Entire home/apt,5,2 baths,2,2,148
323,Grandview-Woodland,Entire home/apt,2,1 bath,1,0,144
324,Killarney,Private room,2,1 private bath,1,1,90
325,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,170
326,Kitsilano,Entire home/apt,4,2 baths,2,2,508
327,Kitsilano,Private room,2,1 shared bath,1,1,86
328,Downtown Eastside,Entire home/apt,4,2 baths,2,2,544
329,Downtown Eastside,Entire home/apt,3,1 bath,1,2,169
330,Kitsilano,Entire home/apt,4,1 bath,2,2,135
331,Downtown,Private room,2,1 private bath,1,1,69
332,Mount Pleasant,Entire home/apt,5,2 baths,4,3,156
333,Renfrew-Collingwood,Private room,2,1 bath,1,1,40
334,Kitsilano,Entire home/apt,8,2.5 baths,3,4,495
335,Kitsilano,Entire home/apt,2,1 bath,1,1,219
336,Downtown,Entire home/apt,5,1 bath,2,0,108
337,Kitsilano,Entire home/apt,8,3.5 baths,4,4,500
338,Fairview,Private room,1,1 shared bath,1,2,50
339,Kitsilano,Entire home/apt,4,1 bath,2,2,140
340,Downtown,Entire home/apt,6,2 baths,3,3,400
341,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,92
342,Downtown,Private room,1,1 shared bath,1,1,39
343,West End,Private room,5,1 shared bath,1,2,156
344,West Point Grey,Entire home/apt,6,1 bath,2,4,156
345,Kitsilano,Private room,1,1 shared bath,1,1,100
346,Mount Pleasant,Private room,2,1 shared bath,1,1,150
347,Downtown Eastside,Entire home/apt,6,2 baths,3,3,108
348,Mount Pleasant,Private room,2,1 private bath,1,1,50
349,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,100
350,West End,Entire home/apt,2,1 bath,1,1,82
351,Downtown Eastside,Entire home/apt,4,2.5 baths,2,2,500
352,Kitsilano,Entire home/apt,8,1.5 baths,3,3,250
353,Mount Pleasant,Entire home/apt,4,2 baths,2,2,169
354,Riley Park,Entire home/apt,2,1 bath,1,0,100
355,Downtown,Entire home/apt,4,1 bath,1,1,75
356,Renfrew-Collingwood,Private room,1,1 shared bath,1,1,65
357,Renfrew-Collingwood,Private room,1,1 shared bath,1,1,65
358,Renfrew-Collingwood,Entire home/apt,4,1 bath,2,2,130
359,Kitsilano,Entire home/apt,6,1.5 baths,2,3,275
360,Downtown,Entire home/apt,4,2 baths,2,2,301.43
361,Downtown,Entire home/apt,2,1 bath,1,1,70
362,Mount Pleasant,Entire home/apt,2,1 bath,1,1,98
363,Downtown,Entire home/apt,4,1.5 baths,2,2,321
364,Kensington-Cedar Cottage,Entire home/apt,3,1 bath,1,2,120
365,Kensington-Cedar Cottage,Entire home/apt,2,1 bath,1,1,83
366,Riley Park,Entire home/apt,3,1 bath,2,2,139
367,Downtown,Entire home/apt,4,2 baths,2,2,350
368,Riley Park,Private room,2,1 shared bath,1,1,35
369,Downtown Eastside,Private room,2,1 private bath,1,1,80
370,Mount Pleasant,Entire home/apt,2,1 bath,1,1,72
371,Grandview-Woodland,Entire home/apt,6,2 baths,3,4,425
372,Arbutus Ridge,Entire home/apt,8,3 baths,5,6,750
373,Downtown,Entire home/apt,2,1 bath,1,1,107
374,West Point Grey,Entire home/apt,6,1 bath,2,3,282
375,Mount Pleasant,Entire home/apt,7,2.5 baths,4,5,268.54
376,Downtown,Private room,2,1 shared bath,1,1,114
377,West End,Entire home/apt,2,1 bath,1,2,138
378,Mount Pleasant,Entire home/apt,4,1 bath,1,2,80
379,Downtown,Entire home/apt,2,1 bath,1,0,179
380,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,210
381,Downtown,Entire home/apt,2,1 bath,1,1,105
382,Kitsilano,Entire home/apt,4,1 bath,2,3,275
383,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,75
384,Downtown,Private room,2,1.5 shared baths,1,1,130
385,Mount Pleasant,Entire home/apt,2,1 bath,1,1,80
386,Fairview,Private room,2,1 bath,1,1,65
387,Downtown,Entire home/apt,3,1 bath,2,2,128
388,Victoria-Fraserview,Entire home/apt,2,1 bath,1,1,79
389,West End,Entire home/apt,4,2 baths,2,2,226
390,Downtown Eastside,Entire home/apt,2,1 bath,1,2,80
391,Downtown,Entire home/apt,3,1 bath,2,2,95
392,Downtown,Entire home/apt,3,1 bath,2,2,130
393,Downtown,Entire home/apt,3,1 bath,1,1,100
394,Dunbar Southlands,Entire home/apt,2,1 bath,1,1,90
395,Mount Pleasant,Entire home/apt,4,1 bath,3,3,130
396,Kensington-Cedar Cottage,Private room,2,1 private bath,1,1,99
397,Renfrew-Collingwood,Entire home/apt,6,2 baths,3,3,149
398,Kitsilano,Entire home/apt,4,1 bath,2,2,80
399,Kensington-Cedar Cottage,Entire home/apt,4,1 bath,2,2,180
400,Downtown Eastside,Private room,1,1.5 shared baths,1,1,42
401,Kitsilano,Private room,2,2 baths,2,2,300
402,Grandview-Woodland,Entire home/apt,4,1 bath,2,0,191
403,South Cambie,Entire home/apt,4,1 bath,2,2,110
404,Mount Pleasant,Entire home/apt,4,1 bath,2,2,179
405,Grandview-Woodland,Entire home/apt,2,1 bath,1,1,150
406,Grandview-Woodland,Entire home/apt,6,1.5 baths,3,3,149
407,Dunbar Southlands,Entire home/apt,5,1.5 baths,3,4,300
408,Downtown,Entire home/apt,2,1 bath,1,1,150
409,Kitsilano,Entire home/apt,5,2 baths,3,3,558
410,Downtown Eastside,Entire home/apt,3,1 bath,1,2,125
411,Downtown,Entire home/apt,2,1 bath,1,1,89
412,West End,Entire home/apt,7,1 bath,1,2,179
413,Downtown,Entire home/apt,4,2 baths,2,2,325
414,Dunbar Southlands,Private room,1,1 shared bath,1,1,70
415,Mount Pleasant,Entire home/apt,4,1 bath,1,2,110
416,West End,Entire home/apt,2,1 bath,1,1,126
417,West Point Grey,Entire home/apt,7,2 baths,3,4,376
418,Grandview-Woodland,Entire home/apt,5,1 bath,2,2,142
419,Downtown,Entire home/apt,2,1 bath,1,1,54
420,West End,Entire home/apt,2,1 bath,1,1,250
421,Grandview-Woodland,Entire home/apt,8,1.5 baths,3,3,263
422,Downtown Eastside,Entire home/apt,4,2 baths,2,2,325
423,West Point Grey,Entire home/apt,8,4 baths,4,4,550
424,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,115
425,Riley Park,Entire home/apt,8,3.5 baths,3,4,400
426,Kitsilano,Entire home/apt,2,1 bath,1,1,249
427,Riley Park,Entire home/apt,7,3.5 baths,4,4,350
428,Fairview,Entire home/apt,6,1.5 baths,2,3,198
429,Dunbar Southlands,Private room,1,1 private bath,1,1,69
430,Fairview,Entire home/apt,3,1 bath,1,1,101
431,Renfrew-Collingwood,Entire home/apt,2,1 bath,1,1,107
432,Hastings-Sunrise,Entire home/apt,2,1 bath,1,1,50
433,Downtown,Entire home/apt,3,1 bath,2,2,196
434,Mount Pleasant,Entire home/apt,4,1 bath,1,2,299
435,Mount Pleasant,Entire home/apt,4,2 baths,2,2,115
436,Kensington-Cedar Cottage,Entire home/apt,7,2 baths,3,6,140
437,Downtown,Entire home/apt,4,2 baths,2,2,350
438,Mount Pleasant,Entire home/apt,10,3.5 baths,5,5,750
439,Riley Park,Entire home/apt,2,1 bath,2,1,120
440,Downtown,Entire home/apt,6,1 bath,2,3,262
441,Grandview-Woodland,Entire home/apt,3,1 bath,1,1,125
442,Mount Pleasant,Entire home/apt,4,2 baths,2,2,275
443,Marpole,Entire home/apt,3,1 bath,1,2,91
444,Downtown,Entire home/apt,6,2 baths,2,3,414
445,Marpole,Entire home/apt,3,1 bath,1,2,91
446,West End,Entire home/apt,2,1 bath,1,1,152
447,Renfrew-Collingwood,Private room,2,1 private bath,1,1,68
448,Downtown,Entire home/apt,5,2 baths,2,2,528.57
449,West End,Entire home/apt,2,1 bath,1,1,105
450,Kitsilano,Private room,1,1.5 baths,1,1,75
451,Kerrisdale,Private room,2,1 private bath,1,1,79
452,Mount Pleasant,Entire home/apt,2,1 bath,1,1,115
453,Grandview-Woodland,Entire home/apt,6,2.5 baths,3,3,340
454,Kitsilano,Entire home/apt,2,1 bath,1,1,123
455,Kitsilano,Entire home/apt,6,2 baths,3,3,500
456,Grandview-Woodland,Private room,2,1 shared bath,1,1,85
457,Kitsilano,Entire home/apt,4,1 bath,2,2,329
458,Kitsilano,Entire home/apt,3,1 bath,1,1,141
459,Downtown,Private room,1,1 shared bath,1,1,47
460,Mount Pleasant,Private room,2,1 shared bath,1,1,40
461,Kitsilano,Entire home/apt,3,1 bath,2,2,210
