election_num,election_year,winner,winner_party,elec_coll_votes_count,elec_coll_votes_tot,elec_coll_votes_perc,pop_votes_perc,pop_votes_perc_marg,pop_votes_count,pop_votes_count_marg,runner-up,runner-up_party,turnout
46,1968,Richard Nixon,Rep.,301,538,55.95,43.42,0.70,31783783,511944,Hubert Humphrey,Dem.,62.5
47,1972,Richard Nixon,Rep.,520,538,96.65,60.67,23.15,47168710,17995488,George McGovern,Dem.,56.2
48,1976,Jimmy Carter,Dem.,297,538,55.20,50.08,2.06,40831881,1683247,Gerald Ford,Rep.,54.8
49,1980,Ronald Reagan,Rep.,489,538,90.89,50.75,9.74,43903230,8423115,Jimmy Carter,Dem.,54.2
50,1984,Ronald Reagan,Rep.,525,538,97.58,58.77,18.21,54455472,16878120,Walter Mondale,Dem.,55.2
51,1988,George H. W. Bush,Rep.,426,538,79.18,53.37,7.72,48886597,7077121,Michael Dukakis,Dem.,52.8
52,1992,Bill Clinton,Dem.,370,538,68.77,43.01,5.56,44909806,5805256,George H. W. Bush,Rep.,58.1
53,1996,Bill Clinton,Dem.,379,538,70.45,49.23,8.51,47400125,8201370,Bob Dole,Rep.,51.7
54,2000,George W. Bush,Rep.,271,538,50.37,47.87,−0.51,50460110,−543816,Al Gore,Dem.,54.2
55,2004,George W. Bush,Rep.,286,538,53.16,50.73,2.46,62040610,3012171,John Kerry,Dem.,60.1
56,2008,Barack Obama,Dem.,365,538,67.84,52.93,7.27,69498516,9550193,John McCain,Rep.,61.6
57,2012,Barack Obama,Dem.,332,538,61.71,51.06,3.86,65915795,4982291,Mitt Romney,Rep.,58.6
58,2016,Donald Trump,Rep.,304,538,56.50,46.09,−2.09,62984828,−2868686,Hillary Clinton,Dem.,60.2
